Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164)
4.447036390939581e-13,0.5617327946872219,0.0,2.1237398240348026e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552937971,0.9999998227258398,0.0,0.0,3.973802361473001e-11,3.973802361473001e-11,1.7727416034863717e-07,8.451974544159328e-27
6.193623060528133e-13,0.5617327946888884,0.0,2.957844805983778e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552781899,0.9999997531598982,0.0,0.0,5.534524968979905e-11,5.5345249689799056e-11,2.4684010199205547e-07,1.6485692126376193e-26
7.940209730116684e-13,0.5617327946905545,0.0,3.7919497299198296e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552625827,0.9999996836272136,0.0,0.0,7.095247576438243e-11,7.095247576438244e-11,3.163727864055781e-07,2.7245275501544867e-26
1e-12,0.561732794693887,0.0,4.775628986243253e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552441768,0.9999996016684174,0.0,0.0,8.935844036205055e-11,8.935844036205059e-11,3.9833158271648025e-07,4.3501621503443526e-26
1.1433383069293787e-12,0.561732794693887,0.0,5.460159403868441e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552313682,0.9999995446615505,0.0,0.0,1.0216692791209219e-10,1.0216692791209224e-10,4.553384496310237e-07,5.713121699799461e-26
1.492655640847089e-12,0.5617327946972195,0.0,7.128368846104015e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556552001538,0.999999405828722,0.0,0.0,1.333813800578593e-10,1.333813800578594e-10,5.941712780822334e-07,9.847630021167845e-26
1.8419729747647994e-12,0.561732794700552,0.0,8.796578056848294e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556551689393,0.9999992671286012,0.0,0.0,1.6459583220168377e-10,1.6459583220168393e-10,7.328713988766838e-07,1.5164416234741589e-25
2.54060764260022e-12,0.5617327947072172,0.0,1.2132995784746647e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556551065103,0.999998990125976,0.0,0.0,2.270247364835047e-10,2.2702473648350498e-10,1.0098740240859241e-06,2.948961948886424e-25
3.2392423104356403e-12,0.5617327947138822,0.0,1.546941258933101e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556550440814,0.9999987136526616,0.0,0.0,2.8945364075755506e-10,2.894536407575555e-10,1.2863473385272819e-06,4.897824557214368e-25
4.636511646106482e-12,0.561732794727212,0.0,2.214224343560589e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556549192236,0.9999981622899246,0.0,0.0,4.143114492823438e-10,4.1431144928234486e-10,1.8377100755967125e-06,1.045983857951071e-24
6.0337809817773225e-12,0.5617327947405422,0.0,2.8815070609748457e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556547943658,0.999997613032321,0.0,0.0,5.391692577760502e-10,5.39169257776052e-10,2.3869676792005926e-06,1.8432491241198162e-24
7.431050317448164e-12,0.5617327947538722,0.0,3.548789412578176e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555654669508,0.9999970658718118,0.0,0.0,6.64027066238674e-10,6.640270662386769e-10,2.934128188372103e-06,2.904450047244905e-24
8.828319653119005e-12,0.5617327947672023,0.0,4.216071399767409e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556545446502,0.9999965208003895,0.0,0.0,7.888848746702154e-10,7.888848746702197e-10,3.4791996107505933e-06,4.252324135945125e-24
1e-11,0.5617327947805324,0.0,4.77562049969152e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556544399508,0.9999960653352634,0.0,0.0,8.935844029040855e-10,8.935844029040911e-10,3.934664736898424e-06,5.620055561711002e-24
1.0225588988789846e-11,0.5617327947805324,0.0,4.88335302393394e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556544197924,0.9999959778100774,0.0,0.0,9.137426830706742e-10,9.137426830706801e-10,4.0221899228236445e-06,5.909475882254399e-24
1.3020127660131528e-11,0.5617327948071923,0.0,6.217915188739169e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556541700769,0.9999948980410235,0.0,0.0,1.1634582997783438e-09,1.1634582997783544e-09,5.101958976939606e-06,1.0241412424597041e-23
