Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38)
9.672715704383475e-12,0.8066801265758254,0.0,1.4078458516246223e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579535768238516,0.9999999999999993,0.0,0.0,1.0939363550155463e-06,1.0939363550155463e-06
1e-11,0.8066802552680383,0.0,1.4554814745424757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579535398096465,0.9999999999999993,0.0,0.0,1.1309505600724538e-06,1.1309505600724538e-06
1.7315355274528817e-11,0.8066802552680383,0.0,2.520217882719803e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579527124803614,0.9999999999999988,0.0,0.0,1.958279845272957e-06,1.958279845272957e-06
3.26006344148195e-11,0.8066805126519568,0.0,4.7449619449101615e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579509837967872,0.9999999999999977,0.0,0.0,3.6869634194366484e-06,3.6869634194366484e-06
6.317119269540088e-11,0.8066810274177655,0.0,9.194450069290874e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579475264432645,0.9999999999999954,0.0,0.0,7.144316942183862e-06,7.144316942183862e-06
9.999999999999999e-11,0.8066820569412673,0.0,1.4554814745424702e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579433613420603,0.9999999999999928,0.0,0.0,1.1309418146322781e-05,1.1309418146322781e-05
1.2431230925656363e-10,0.8066820569412673,0.0,1.8093426318052268e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.657940611790721,0.999999999999991,0.0,0.0,1.4058969485617921e-05,1.4058969485617921e-05
2.465945423788891e-10,0.8066841159558126,0.0,3.589137881557494e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579267827036395,0.9999999999999821,0.0,0.0,2.7888056567201042e-05,2.7888056567201042e-05
4.911590086235402e-10,0.8066882338550713,0.0,7.148728381061978e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6578991254014721,0.9999999999999644,0.0,0.0,5.554535873455313e-05,5.554535873455313e-05
9.802879411128421e-10,0.8066964691342927,0.0,1.426790938007076e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6578438142849169,0.9999999999999287,0.0,0.0,0.00011085647528974484,0.00011085647528974484
