Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36)
1.6488823335939735e-08,0.5399816079589949,3.76,0.0,0.8182848973177324,0.9999934566483427,0.0,2.6130434535568838e-14,5.113164848171201e-10,0.004974587835256249,0.00011564524317321398,0.00014230560017321675,6.829217261177767e-05,6.58310514360148e-05,6.368466739304096e-06,1.5175196317484688e-05,8.263402663362287e-09,1.6662151507232834e-07
1.6863775454312642e-08,0.5399876380170664,3.76,0.0,0.8182187893406919,0.9999932987772687,0.0,2.887744257268688e-14,5.273570487078312e-10,0.005084218289019464,0.00011979472139178259,0.0001487752887694504,7.156655320367125e-05,6.973647602039846e-05,6.520690313988285e-06,1.620740096083793e-05,8.605975476602682e-09,1.719264415534553e-07
1.723872757268555e-08,0.5399936808489985,3.76,0.0,0.8181524980186347,0.999993140403923,0.0,3.184374647610681e-14,5.434375867630445e-10,0.00519369563326418,0.00012399536384154636,0.00015538536317340467,7.493049731782631e-05,7.378043035906504e-05,6.673395559291292e-06,1.7288504580137975e-05,8.95368041708041e-09,1.7724683703166716e-07
1.7613679691058456e-08,0.5399997366134015,3.76,0.0,0.8180860222960081,0.9999929815199841,0.0,3.504136584325097e-14,5.595542261083555e-10,0.0053030200119263396,0.00012824657653448654,0.0001621356033815989,7.838436685228164e-05,7.796460279914846e-05,6.826592264195267e-06,1.841982264587539e-05,9.306443466791578e-09,1.8258130796780445e-07
1.7988631809431363e-08,0.540005805467003,3.76,0.0,0.8180193611123716,0.9999928221170609,0.0,3.848266927568869e-14,5.757033422533336e-10,0.0054121915696836624,0.0001325477891455786,0.0001690257896081154,8.1928499044196e-05,8.229066238803055e-05,6.980290200955771e-06,1.960267539203986e-05,9.664193574718007e-09,1.8792854431191666e-07
1.836358392780427e-08,0.5400118875647235,3.76,0.0,0.8179525134027575,0.9999926621866978,0.0,4.218037400950776e-14,5.918815432634325e-10,0.0055212104519716506,0.00013689845388136364,0.0001760557022843659,8.556320758978063e-05,8.676025963934877e-05,7.134499124847636e-06,2.0838387456614267e-05,1.0026862533926573e-08,1.9328731452866553e-07
1.8738536046177177e-08,0.5400179830597467,3.76,0.0,0.8178854780980136,0.9999925017203799,0.0,4.6147545433626084e-14,6.080856549433256e-10,0.005630076804999157,0.00014129804440155404,0.00018322512205886334,8.928878371144267e-05,9.137502726235771e-05,7.289228773918703e-06,2.212828753832956e-05,1.0394384861851797e-08,1.9865646091930704e-07
1.9113488164550084e-08,0.5400240921035873,3.76,0.0,0.8178182541251332,0.999992340709538,0.0,5.039759650443216e-14,6.243127069669989e-10,0.0057387907757634905,0.0001457460547911843,0.00019053382979699964,9.310549717462024e-05,9.613658085636052e-05,7.444488868750918e-06,2.3473708068912595e-05,1.0766697683976037e-08,2.0403489522257972e-07
1.9863392401295897e-08,0.5400363514358062,3.76,0.0,0.8176832358654873,0.9999920170197569,0.0,5.980172285034253e-14,6.5682469508192e-10,0.005955762162520902,0.0001547854079280436,0.000205568233708882,0.00010101331355599758,0.000106106426660658,7.756639189327008e-06,2.6336457039818812e-05,1.1525455689252287e-08,2.1481559774959576e-07
2.053830621436713e-08,0.540047432659792,3.76,0.0,0.817561063354207,0.9999917237497479,0.0,6.937453395732022e-14,6.861378750918261e-10,0.006150516754593313,0.0001630817309293782,0.00021957336813985297,0.00010844433823183363,0.00011559717596221475,8.039485753555766e-06,2.9116243676280035e-05,1.2224140121024649e-08,2.2454035803847578e-07
2.1213220027438365e-08,0.540058560068612,3.76,0.0,0.8174382627262163,0.9999914285801614,0.0,8.00882781162433e-14,7.154872176921724e-10,0.006344779951783246,0.00017152790106492643,0.00023402639748225243,0.00011617396027095225,0.00012558792219032674,8.324201314368777e-06,3.209677753415677e-05,1.293747560694357e-08,2.3428104823074733e-07
2.18881338405096e-08,0.5400697344930622,3.76,0.0,0.8173148276225212,0.9999911314595816,0.0,9.203363842120722e-14,7.448612407282769e-10,0.0065385526417345245,0.00018012158744370316,0.00024892605155858803,0.0001242030946669341,0.0001360875489534898,8.610841901459083e-06,3.528592619902514e-05,1.3665175766421864e-08,2.4403334101396894e-07
