Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
1.6129803907105951e-09,0.07398452599338079,3.76,0.0,0.8442152064867021,0.9999999998780855,0.0,3.601285832533659e-38,1.1614352056715875e-25,4.0292006321993826e-10,1.2108256390316028e-10,1.3315223191268269e-13,4.319632850791576e-13,1.7582550519991458e-13,1.2120779228262562e-10,8.734260369904317e-15,3.6111190429763964e-13,3.4292417430408115e-13,1.5512433888601427e-25,2.4752487505899827e-15,5.744436865887047e-29
1.95355116585438e-09,0.07398452599394019,3.76,0.0,0.8442152064183984,0.999999999852141,0.0,7.106028367232984e-38,1.5395935446495816e-25,4.878734304498252e-10,1.46549506791558e-10,1.9521928337674907e-13,5.401650186704986e-13,2.579126299412571e-13,1.4682487949088638e-10,1.3097660662709012e-14,5.283871488037895e-13,5.020752072667267e-13,2.7275641326794127e-25,3.6300429932050854e-15,1.1922370706803294e-28
2.634692716141949e-09,0.07398452599505681,3.76,0.0,0.8442152062817521,0.9999999998000408,0.0,2.0289267214157617e-37,2.337384469506132e-25,6.576548855805278e-10,1.9738159604111539e-10,3.548568855570171e-13,7.736473594812626e-13,4.692742593364051e-13,1.9808548531147802e-10,2.4839179256229053e-14,9.567273570407592e-13,9.101530477631314e-13,6.585064506538908e-25,6.602000901318595e-15,3.7442524156087595e-28
3.3158342664295182e-09,0.0739845259961706,3.76,0.0,0.8442152061450532,0.999999999747662,0.0,4.529084852117492e-37,3.1523642357883993e-25,8.272702891169483e-10,2.480795246733276e-10,5.617937670794764e-13,1.0292624588154134e-12,7.436572448585067e-13,2.4938173926613675e-10,4.093746913544769e-14,1.5087465254066142e-12,1.4369831167335655e-12,1.3022988008872687e-24,1.045762907666052e-14,9.064845788389975e-28
3.996975816717088e-09,0.07398452599728157,3.76,0.0,0.8442152060083015,0.9999999996950064,0.0,8.691486909113091e-37,3.9663157667065255e-25,9.967208607964682e-10,2.986452151547591e-10,8.159819845832306e-13,1.3062359744386933e-12,1.0811906820158537e-12,3.007141363650508e-10,6.180031249195309e-14,2.1827535703379376e-12,2.0813936042876087e-12,2.2762970345855918e-24,1.5197570039931577e-14,1.8748819775817115e-27
4.678117367004657e-09,0.07398452599838974,3.76,0.0,0.8442152058714963,0.9999999996420766,0.0,1.5056979550066764e-36,4.781260804072142e-25,1.1660077971034477e-09,3.490805336275549e-10,1.1173743595515494e-12,1.6038288227750836e-12,1.4820006594499655e-12,3.520831529234851e-10,8.781591710178133e-14,2.977097933811637e-12,2.842235188933721e-12,3.6530769087267314e-24,2.0822470131512794e-14,3.484720520586642e-27
5.3592589172922264e-09,0.07398452599949518,3.76,0.0,0.8442152057346377,0.9999999995888746,0.0,2.422916696806248e-36,5.601213054554953e-25,1.33513225030722e-09,3.9938725789325514e-10,1.465925328015036e-12,1.9213493269098297e-12,1.9462080905241313e-12,4.0348923858894733e-10,1.1934658378181377e-13,3.890198274164935e-12,3.718401150154334e-12,5.504386920240881e-24,2.733296852511771e-14,5.984211897995144e-27
6.040400467579796e-09,0.07398452600059788,3.76,0.0,0.8442152055977252,0.9999999995354029,0.0,3.6855548207513794e-36,6.423949838808304e-25,1.504095338514601e-09,4.495670948501468e-10,1.8615905684641163e-12,2.2581450281099535e-12,2.4739298246838854e-12,4.549328212285523e-10,1.5673311398710235e-13,4.920527957729207e-12,4.708817687853913e-12,7.901730029126565e-24,3.47297020841803e-14,9.665862330467024e-27
7.0213800091742445e-09,0.07398452600218125,3.76,0.0,0.8442152054004488,0.9999999994579233,0.0,6.244514653464239e-36,7.607660934396767e-25,1.7471545672750673e-09,5.216165337609313e-10,2.5141259614605357e-12,2.775764854927224e-12,3.345797043183547e-12,5.290885774035281e-10,2.2154671182572486e-13,6.607315920663567e-12,6.333798026503184e-12,1.24610442584744e-23,4.6941062216861067e-14,1.770117190325187e-26
8.002359550768693e-09,0.07398452600375917,3.76,0.0,0.8442152052030593,0.9999999993798948,0.0,9.8703384989713e-36,8.786256251732814e-25,1.989884753427948e-09,5.934113249935222e-10,3.2641597077049947e-12,3.330161860009266e-12,4.3499923338921094e-12,6.033242289205629e-10,3.0017425902350363e-13,8.529577228758049e-12,8.190322237357399e-12,1.8525609282486419e-23,6.099394189885404e-14,2.9974804418483815e-26
