Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16)
1e-12,0.8386864554765353,3.76,0.0,0.8512190832019626,0.9999999998929803,7.368885896516936e-21,6.145074489488754e-32,1.9524051488975782e-19,9.402032191953898e-08,2.7726848039146283e-10,7.85695992089e-14,6.0336030911390665e-15,1.7017971802381472e-10,1.8273563478911484e-15,2.5093313028540624e-26,1.0341896839100107e-31,1.0701845526580576e-10,1.8981886461785414e-16,2.6547208711690486e-18,8.81764125842016e-16,3.5263413837768567e-16,7.434707324270824e-16,7.366596461712511e-18,1.0667583463038223e-24
1.0205098652654263e-12,0.8386864554765353,3.76,0.0,0.8512190822321012,0.9999999998907853,7.812753370696215e-21,6.517294268305287e-32,2.032805752536021e-19,9.594866435656733e-08,2.8295675665431975e-10,8.180518416217248e-14,6.282095562849136e-15,1.736701648028163e-10,1.9026095557993855e-15,2.66051397955441e-26,1.1134050384793463e-31,1.092133894660016e-10,1.976357144820394e-16,2.7640511311920527e-18,9.180761189869735e-16,3.627251748323461e-16,7.740876985885296e-16,7.669961277224868e-18,1.1310150399925e-24
1.6366667662802183e-12,0.83868645982159,3.76,0.0,0.851219053095517,0.9999999998248432,3.286806116828753e-20,2.7800186165731016e-31,5.209213479446679e-19,1.5387985152135925e-07,4.5387280821599156e-10,2.0963783947776955e-13,1.6100796863006908e-14,2.7853166599324554e-10,4.875772898337083e-15,1.1198730870335937e-25,7.98522385690655e-31,1.7515355419347065e-10,5.064609756958541e-16,7.083823750463324e-18,2.352700699460121e-15,7.197891219235607e-16,1.9837138519254747e-15,1.9655409880333384e-17,4.758172866276996e-24
2.868980568309802e-12,0.8386864685117007,3.76,0.0,0.8512189948221698,0.9999999996929568,1.8235463728571467e-19,1.5851400592406855e-30,1.5980628850917121e-18,2.697420399344013e-07,7.958732235792055e-10,6.431575769060384e-13,4.940907405643428e-14,4.882638433714753e-10,1.4958960673896846e-14,6.219939756196721e-25,8.294821065637199e-30,3.070338948197904e-10,1.5537336013490244e-15,2.1736185691472827e-17,7.217929296669553e-15,1.746951501227511e-15,6.085927362968703e-15,6.030176100351212e-17,2.6398929817736215e-23
5.33360817236897e-12,0.8386864858919283,3.76,0.0,0.8512188782747592,0.9999999994291741,1.2004853305076601e-18,1.0996745662617624e-29,5.519401206289717e-18,5.014656730966417e-07,1.480547252347407e-09,2.2216118530717903e-12,1.7075900527007838e-13,9.077649465799586e-10,5.167410660192961e-14,4.103699752229475e-24,1.0647093393003577e-28,5.707946208806562e-10,5.366518257405759e-15,7.510547304438673e-17,2.4932155523096334e-14,5.0534165996531274e-15,2.1022173006278148e-14,2.0829610249995613e-16,1.7379319311292426e-22
7.798235776428139e-12,0.8386865032721639,3.76,0.0,0.8512187617263938,0.9999999991653782,3.597456268701031e-18,3.427964472799007e-29,1.1796312229789451e-17,7.331883147095989e-07,2.166118812505988e-09,4.748615906055493e-12,3.651519304383954e-13,1.327315111018788e-09,1.1045602499624316e-13,1.2318054301217542e-23,4.270572137973685e-28,8.345554068460606e-10,1.1469964924936545e-14,1.605782146738347e-16,5.329121877660922e-14,1.0029406340691967e-14,4.493414736282523e-14,4.452257798454511e-16,5.208087369081059e-22
1e-11,0.8386865206524078,3.76,0.0,0.8512186576076171,0.9999999989297063,7.401063964138111e-18,7.300310820827715e-29,1.9395293786144662e-17,9.401958782560545e-07,2.779330118572865e-09,7.808294418017867e-12,6.006618902495137e-13,1.702159970196879e-09,1.8163266460874597e-13,2.5380258979809316e-23,1.0722555456263237e-27,1.0701849950613594e-09,1.885929666669947e-14,2.641055169234941e-16,8.762784573307616e-14,1.588661740266876e-14,7.388659927703595e-14,7.320988152720395e-16,1.0714788948375242e-21
1.0262863380487307e-11,0.8386865206524078,3.76,0.0,0.8512186451770737,0.9999999989015692,7.959985329043298e-18,7.8756420275249e-29,2.042809689276109e-17,9.649099647764878e-07,2.85258781211932e-09,8.224165413236188e-12,6.326788964251184e-13,1.7469144251206156e-09,1.9130716362017382e-13,2.7300656128425625e-23,1.1719091348572296e-27,1.0983162529398886e-09,1.986362186556784e-14,2.7817867602465257e-16,9.229485925188457e-14,1.6674927290066044e-14,7.782181190264933e-14,7.710905631358818e-16,1.1523975897982448e-21
1.2727490984546476e-11,0.8386865380326596,3.76,0.0,0.8512185286267988,0.9999999986377471,1.48946253796963e-17,1.5285558890293067e-28,3.141403299297492e-17,1.1966306233005018e-06,3.539954156273592e-09,1.2648256031201976e-11,9.73434030862142e-13,2.1665629803026187e-09,2.9423006026193606e-13,5.116914970179348e-23,2.6159667239084373e-27,1.3620771593936101e-09,3.054702244596835e-14,4.27931932127386e-16,1.419428101020842e-13,2.498998678091808e-14,1.1968512797949917e-13,1.1858902265844837e-15,2.156389703722577e-21
1.765674619266481e-11,0.8386865727931886,3.76,0.0,0.8512182955233849,0.9999999981100637,3.872924210219537e-17,4.2634400003743265e-28,6.044568320813877e-17,1.6600689657315476e-06,4.9173785265207176e-09,2.4342044681253187e-11,1.874977790399889e-12,3.006008152810642e-09,5.663005668670631e-13,1.3349497340287453e-22,9.007470199616182e-27,1.8895991542390425e-09,5.878132520071965e-14,8.239897225858683e-16,2.73170657530556e-13,4.6628750783740886e-14,2.303385732156734e-13,2.282293375067982e-15,5.607281805283964e-21
