Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7)
1.2099364111219968e-06,0.08729135221859323,3.76,0.0,0.7933307124107941,0.9965323373575096,0.002523073256939497,7.483704419431341e-17,1.2800046340471794e-13,0.0010048842962089137,0.0009377049056746243,0.0027625394235535256,0.0002864048537371198,0.019688311398078417,0.0017572325178947825,0.014961030433734096,5.839183701839264e-06,2.66890603131453e-06,2.819172155814655e-06,0.00036774443546146933,1.0869004528880221e-05,3.420542065508243e-05,6.434358092253235e-05,1.7423544249751186e-06,3.4716585988555156e-05,1.0273999871849097e-05
1.238590330644245e-06,0.08730426645610871,3.76,0.0,0.7923215958273768,0.996375712179703,0.0026588693593196564,7.975413544159485e-17,1.342283829450259e-13,0.0010254797121555304,0.0009532046743602252,0.00287772956560112,0.00029099800052061436,0.020608648334714656,0.00181502033747515,0.015647851772325302,5.934456738748305e-06,2.72302341319977e-06,3.0142632178659484e-06,0.00039400885607796454,1.1976577870809486e-05,3.516143768485987e-05,6.866590754722435e-05,1.8639518997104724e-06,3.8196867815715486e-05,1.0444768916832834e-05
1.2672442501664931e-06,0.08731738254712927,3.76,0.0,0.7912964296332066,0.996216830775261,0.0027983642231985007,8.486944343420367e-17,1.4062844217731535e-13,0.0010460541905970868,0.0009684232033688335,0.002995215911998238,0.00029550574084664087,0.02154386788276591,0.0018720935748121918,0.01634470463337148,6.027880748760001e-06,2.7770414728498395e-06,3.21659515409474e-06,0.00042116731508076786,1.3161412124021287e-05,3.612299019416611e-05,7.32011823825988e-05,1.9901725119974177e-06,4.191558328561548e-05,1.0612673676031332e-05
1.2958981696887413e-06,0.08733069689957554,3.76,0.0,0.7902554857986078,0.9960557352096748,0.0029415745203381022,9.018617711701845e-17,1.4720104753063501e-13,0.0010666041586901462,0.000983374374084477,0.003114989971730144,0.00029993284824622515,0.022493679736810362,0.0019284131987224557,0.01705135171883185,6.119544117436488e-06,2.8309496539555267e-06,3.4262121355805615e-06,0.000449200884306474,1.4426475025746691e-05,3.7090084663764124e-05,7.795516354915724e-05,2.1210572364548908e-06,4.588171455544884e-05,1.0777886706845881e-05
1.3245520892109895e-06,0.08734420608916617,3.76,0.0,0.789199025221052,0.9958924641431145,0.003088516707972158,9.570757743412052e-17,1.5394667757133422e-13,0.0010871270152071262,0.000998070997845139,0.0032370426851226356,0.00030428373492012847,0.023457805485940383,0.001983944883283007,0.017767566781965633,6.209528439732523e-06,2.8847400805036553e-06,3.643157081299057e-06,0.0004780894397958508,1.5774757024699192e-05,3.806269325524406e-05,8.293359005772592e-05,2.2566470360167167e-06,5.01043247006755e-05,1.0940567551351704e-05
1.3532060087332377e-06,0.08735790684564478,3.76,0.0,0.7881272986346393,0.9957270530543618,0.003239206900329738,1.0143691232924712e-16,1.608658718481574e-13,0.0011076210011895426,0.0010125248745912019,0.0033613645325326555,0.00030856247259409056,0.024435977657539687,0.002038658726572572,0.01849313377971172,6.297908891058638e-06,2.938407205159932e-06,3.8674714996324175e-06,0.0005078117822973956,1.7209270390032847e-05,3.90407565971123e-05,8.814218101358415e-05,2.396982747183306e-06,5.459255717449241e-05,1.1100863482457891e-05
1.3818599282554859e-06,0.08737179603954383,3.76,0.0,0.7870405474679535,0.9955595344549646,0.0033936607513165105,1.0737746903559683e-16,1.6795921940468402e-13,0.0011280850768533247,0.0010267468512638555,0.00348794562861296,0.00031277281307138513,0.025427938817351933,0.0020925289786008603,0.019227846076953273,6.384754597838584e-06,2.9919474740554838e-06,4.099195328416185e-06,0.0005383457530963393,1.8733048265998e-05,4.0024186481590696e-05,9.358663448570931e-05,2.542104963227301e-06,5.935563504528384e-05,1.1258910240818012e-05
1.410513847777734e-06,0.0873858706697342,3.76,0.0,0.7859390046509526,0.9953899380934703,0.003551893347904167,1.1353254554688751e-16,1.752273477782644e-13,0.0011485188061459745,0.0010407468787521565,0.0036167758029713296,0.0003169182081129854,0.026433440725269302,0.0021455337789266565,0.019971505701599133,6.470128999634433e-06,3.04535901203877e-06,4.3383667728754035e-06,0.0005696683450551867,2.0349143672665126e-05,4.101286843832887e-05,9.927262605709377e-05,2.69205391543975e-06,6.440286000927393e-05,1.1414832748133936e-05
1.4391677672999822e-06,0.08740012785179015,3.76,0.0,0.7848228953729138,0.9952182911499656,0.0037139191136640287,1.1990544317470922e-16,1.8267091249462685e-13,0.0011689222493721976,0.0010545340669497454,0.0037478446681795366,0.00032100182852006295,0.02745224354456897,0.0021976549040904868,0.020723922648159507,6.554090199851864e-06,3.098641329658601e-06,4.5850221434548665e-06,0.0006017558087930883,2.2060628453193818e-05,4.200666418304531e-05,0.00010520580707353205,2.8468693521988287e-06,6.974361117735836e-05,1.1568745792583856e-05
1.4678216868222304e-06,0.08741456480715572,3.76,0.0,0.7836924377934746,0.995044618421196,0.003879751721922372,1.264994573138388e-16,1.9029058672738415e-13,0.001189295863963161,0.0010681167377474855,0.0038811416760478174,0.0003250265823789935,0.028484115102216035,0.002248877524890911,0.021484914227479602,6.636691303740168e-06,3.1517950521816313e-06,4.839195696137192e-06,0.0006345837539543077,2.387059216826862e-05,4.3005413939949916e-05,0.00011139180260790813,3.0065904173407393e-06,7.538734363396915e-05,1.1720754684574041e-05
1.4964756063444786e-06,0.08742917885304037,3.76,0.0,0.7825478437084658,0.9948689424964712,0.0040494040180538956,1.3331786789993081e-16,1.980870514402399e-13,0.0012096404135004631,0.0010815024757377548,0.004016656163044132,0.000328995132412975,0.029528830198268904,0.0022991899735665556,0.022254304460635598,6.717980742126872e-06,3.2048216710446523e-06,5.100919475548322e-06,0.0006681272455399458,2.5782140938714785e-05,4.4008938630403135e-05,0.00011783620915800202,3.1712555293021836e-06,8.134358676685922e-05,1.187095588011833e-05
1.5251295258667268e-06,0.08744396739298362,3.76,0.0,0.7813893191722577,0.9946912839245703,0.004222887950402776,1.4036393053513078e-16,2.0606098605936934e-13,0.0012299568850522823,0.0010946981764161769,0.004154377385768541,0.00033290991238508566,0.03058616996237446,0.002348583520910857,0.023031923514952393,6.7980025794235115e-06,3.257723317969919e-06,5.370223160904924e-06,0.0007023608953083627,2.7798396237572203e-05,4.5017041926100374e-05,0.00012454459209731704,3.340902261189094e-06,8.762194236929594e-05,1.2019437569870982e-05
1.553783445388975e-06,0.08745892790806749,3.76,0.0,0.7802170650786913,0.9945116613719516,0.004400214509287205,1.476408666536325e-16,2.1421305954303815e-13,0.0012502464146562718,0.0011077100918239662,0.004294294547429979,0.00033677314254568626,0.031655921254941995,0.0023970521632361154,0.02381760717980109,6.876796805442858e-06,3.3105025613348853e-06,5.6471339163932735e-06,0.0007372589482799682,2.9922493633157797e-05,4.602951217174157e-05,0.000131522482899391,3.5155672218298016e-06,9.423208251763694e-05,1.2166280233696286e-05
