Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40)
6.55359e-10,0.08543667695693279,3.76,0.0,0.8213535366657855,0.9999999999964843,0.0,1.7291427357056258e-45,4.332573894173577e-30,3.1618349673953697e-12,3.5063685572154776e-12,1.3767973322924134e-16,1.6891269193514128e-15,1.1513220581573363e-15,3.5112566283588495e-12,7.320124566719613e-18,4.426873928770525e-15
9.17503e-10,0.08543667695694242,3.76,0.0,0.8213535366637482,0.9999999999950752,0.0,6.390790883573884e-45,7.640657506533239e-30,4.4264999094070785e-12,4.90608521386759e-12,2.64750524802157e-16,2.457514344584838e-15,2.213718597254078e-15,4.916267459648866e-12,1.448004974953237e-17,8.506033555653907e-15
9.999999999999999e-10,0.08543667695696162,3.76,0.0,0.8213535366631071,0.9999999999946314,0.0,9.360199231472672e-45,8.787581724578398e-30,4.82448257519319e-12,5.346234283974378e-12,3.1349754992607995e-16,2.7103988028856235e-15,2.621222825120202e-15,5.358487385892036e-12,1.732829675378655e-17,1.0069209213738453e-14
1.4417910000000002e-09,0.08543667695696162,3.76,0.0,0.8213535366596736,0.9999999999922521,0.0,3.7501544701099907e-44,1.5792097339760463e-29,6.955702789667185e-12,7.700540391091627e-12,6.458958577760164e-16,4.154856164687219e-15,5.399573251987422e-15,7.727180988008314e-12,3.742870911287802e-17,2.0717059853401716e-14
1.9660790000000004e-09,0.08543667695698073,3.76,0.0,0.8213535366555987,0.9999999999894225,0.0,1.1694300347446556e-43,2.536772661212389e-29,9.484736193760103e-12,1.0488370938190081e-11,1.196517338211812e-15,6.063867778183884e-15,1.0000793276155381e-14,1.053928569814995e-11,7.289113693603533e-17,3.8319340797828607e-14
3.0146550000000005e-09,0.08543667695701873,3.76,0.0,0.8213535366474485,0.9999999999837433,0.0,5.863629208407078e-43,4.6245945014741423e-29,1.4542294784986815e-11,1.6044302606494036e-11,2.8059771861164788e-15,1.0497592952850352e-14,2.3443568430782596e-14,1.616707490831104e-11,1.8865919188255513e-16,8.956605347817696e-14
4.0632310000000006e-09,0.08543667695705645,3.76,0.0,0.8213535366392974,0.9999999999780382,0.0,1.7066882237272193e-42,6.838477462629933e-29,1.9599175814103983e-11,2.157407080036975e-11,5.092999034159512e-15,1.5732960615438115e-14,4.2535495416659e-14,2.1799644483052352e-11,3.7157189567044045e-16,1.6207179529022493e-13
5.111807000000001e-09,0.08543667695709384,3.76,0.0,0.8213535366311459,0.9999999999723073,0.0,3.850757365278143e-42,9.086776208055506e-29,2.4655379385277278e-11,2.707788011685178e-11,8.057478697626094e-15,2.174267931075299e-14,6.726978623732394e-14,2.7437004559900776e-11,6.319951720764165e-16,2.5564901892687833e-13
6.1603830000000016e-09,0.0854366769571309,3.76,0.0,0.8213535366229934,0.9999999999665506,0.0,7.45114164985409e-42,1.1337058917284531e-28,2.9710905593713595e-11,3.255593844993049e-11,1.169932095019126e-14,2.849951447434733e-14,9.763959651901116e-14,3.3079165220198465e-11,9.80237861294005e-16,3.701068883770796e-13
8.257535000000001e-09,0.08543667695720414,3.76,0.0,0.8213535366066861,0.9999999999549611,0.0,2.097386241089719e-41,1.5834556160197556e-28,3.9819926256747634e-11,4.3435559867034965e-11,2.1014758779289248e-14,4.4158202007221056e-14,1.7526078657357463e-13,4.437792339628989e-11,1.9764196062275034e-15,6.609677561067414e-13
9.999999999999999e-09,0.08543667695727618,3.76,0.0,0.8213535365931345,0.999999999945255,0.0,4.1396359273277907e-41,1.9554567747158688e-28,4.821716900543003e-11,5.2398531658043464e-11,3.081475793005446e-14,5.922193572807181e-14,2.5684215365972605e-13,5.37804309244299e-11,3.1537803222020552e-15,9.645592133695149e-13
1.0354687000000002e-08,0.08543667695727618,3.76,0.0,0.8213535365903757,0.9999999999432708,0.0,4.683961094585241e-41,2.030861321394131e-28,4.99262385269691e-11,5.421456358015449e-11,3.3038588605606276e-14,6.25048837036506e-14,2.753451841358944e-13,5.569599271174386e-11,3.436674712065694e-15,1.033155585050973e-12
1.2451839000000003e-08,0.0854366769573471,3.76,0.0,0.821353536574062,0.9999999999314815,0.0,9.062210735093612e-41,2.477547914540782e-28,6.002984316136875e-11,6.489463337416627e-11,4.777005327939262e-14,8.333675129992312e-14,3.9783662469754287e-13,6.703344442864989e-11,5.4363847736630615e-15,1.4851173792151978e-12
1.4548991000000004e-08,0.0854366769574168,3.76,0.0,0.8213535365577449,0.9999999999195942,0.0,1.5887177342322586e-40,2.924681355228787e-28,7.013074090578973e-11,7.547739980404538e-11,6.520840680220359e-14,1.0646776141297924e-13,5.426801144590369e-13,7.839034133047152e-11,8.043815840529493e-15,2.0153450974043314e-12
1.6646143000000005e-08,0.08543667695748536,3.76,0.0,0.8213535365414244,0.9999999999076107,0.0,2.588880621643343e-40,3.3720435569927e-28,8.022893248514565e-11,8.596441298280775e-11,8.535292411121797e-14,1.3173091524452782e-13,7.098227369055617e-13,8.976673711309383e-11,1.1319354242276822e-14,2.6224012043152656e-12
1.8743295000000006e-08,0.08543667695755286,3.76,0.0,0.8213535365251007,0.9999999998955322,0.0,3.985726355376232e-40,3.819240021040217e-28,9.032441861203879e-11,9.635715870395294e-11,1.0820289245948437e-13,1.5897485112418253e-13,8.992131334538872e-13,1.0116267788357075e-10,1.531689594461147e-14,3.304904448182937e-12
2.1856862033401197e-08,0.08543667695765102,3.76,0.0,0.8213535365008588,0.9999999998774276,0.0,6.969340007825755e-40,4.482826907407994e-28,1.0530783951843556e-10,1.1161621157927147e-10,1.4711593842032536e-13,2.0276042451225854e-13,1.2213183284856585e-12,1.1811796927115186e-10,2.269525498932096e-14,4.454387907820324e-12
