Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7)
1.0519964402226898e-11,0.7665840124841963,3.76,0.0,0.9762994086780289,0.9999999997907586,7.421848533632703e-20,3.422704590713034e-32,1.0029499409945914e-19,1.1431407881482709e-07,3.5791796570921367e-10,6.00485247462242e-13,3.650738658556521e-14,1.4812695649922432e-10,1.3153331070273843e-14,1.309300997086294e-25,2.7125455759540003e-30,2.0923646140148843e-10,3.826351418558866e-15,5.886174037847499e-17,8.295859630856713e-16,8.838497567201079e-16
1.940244185321338e-11,0.7665840189503251,3.76,0.0,0.9762993601143352,0.9999999996140791,4.777683656140256e-19,2.612873032570684e-31,3.4072720796220732e-19,2.1083363437978153e-07,6.610211612766192e-10,2.0410629315869142e-12,1.2422313048558862e-13,2.732319138316156e-10,4.471311322521739e-14,8.474211752251184e-25,3.400680823924638e-29,3.859045842919181e-10,1.3003711150584589e-14,2.002091026776942e-16,2.8201910423564407e-15,2.9195477696208536e-15
2.8284919304199865e-11,0.7665840254164598,3.76,0.0,0.9762993115497698,0.9999999994373926,1.4217207862636502e-18,8.736494368260904e-31,7.236653254656535e-19,3.0735232443470845e-07,9.649460061938615e-10,4.3369005395776985e-12,2.641933335793853e-13,3.9836881672767164e-10,9.501590549315075e-14,2.5322884274911646e-24,1.357152894126512e-28,5.625730748918612e-10,2.7626740516224784e-14,4.2565550243146433e-16,5.9931503224877225e-15,6.136472522536852e-15
3.716739675518635e-11,0.7665840318826005,3.76,0.0,0.976299262984333,0.9999999992606989,3.134091550992468e-18,2.1355052972849063e-30,1.2489290465110717e-18,4.038701489870008e-07,1.2696923643709067e-09,7.48799151615107e-12,4.565526640695208e-13,5.235377943223203e-10,1.640662902034842e-13,5.6052159486899816e-24,3.7165977397256986e-28,7.392419339774131e-10,4.7693232919280926e-14,7.35338152151878e-16,1.0348870598250696e-14,1.0534567452624316e-14
4.604987420617283e-11,0.7665840383487469,3.76,0.0,0.9762992144180245,0.9999999990839982,5.850686554175916e-18,4.380924495227315e-30,1.9163320939433927e-18,5.003871080448926e-07,1.5752600945914666e-09,1.1494328499485623e-11,7.014402888921079e-13,6.487389800568249e-10,2.518690097743692e-13,1.050692196983786e-23,8.290331199729499e-28,9.15911162350748e-10,7.320090423934696e-14,1.1293986875792482e-15,1.588777265379597e-14,1.6113774419057383e-14
6.38148291081458e-11,0.7665840512810578,3.76,0.0,0.9762991172827928,0.9999999987305757,1.5171353953430426e-17,1.342782658979778e-29,3.67686658356579e-18,6.934184297088834e-07,2.188859146928854e-09,2.207271231760683e-11,1.3493162710861356e-12,8.992384704746474e-10,4.837491225286964e-13,2.747194255254646e-23,2.8565318061555583e-27,1.2692507299352587e-09,1.4053131354473253e-13,2.1711775793218103e-15,3.0516687143309725e-14,3.08153142806773e-14
8.157978401011877e-11,0.7665840642133925,3.76,0.0,0.976299020144075,0.9999999983771247,3.127645006069528e-17,3.184618514966085e-29,6.003778469404116e-18,8.864462894945889e-07,2.80574202950464e-09,3.6071991088679846e-11,2.20893697830357e-12,1.1498683574484307e-09,7.906945694255648e-13,5.709177858827418e-23,7.319528799464526e-27,1.622591784079904e-09,2.2959965215284746e-13,3.552125037288141e-15,4.9883285247562304e-14,5.024064425264871e-14
9.934473891209173e-11,0.766584077145751,3.76,0.0,0.9762989230018707,0.9999999980236455,5.615995844447139e-17,6.465232022305252e-29,8.895502412620638e-18,1.0794706874737172e-06,3.425907549206686e-09,5.3492100466560986e-11,3.281476646051323e-12,1.4006297662231748e-09,1.1727459982702877e-12,1.0333695518203387e-22,1.575707431602982e-26,1.9759343315601316e-09,3.4038664956212587e-13,5.273430991289806e-15,7.399115477025958e-14,7.438931189157808e-14
9.999999999999999e-11,0.7665840900781339,3.76,0.0,0.9762989194187099,0.9999999980106069,5.727134853397238e-17,6.62184971068968e-29,9.012944451379669e-18,1.086590334086875e-06,3.448845137532113e-09,5.4200056851152615e-11,3.3251240276917937e-12,1.4098816405751866e-09,1.188274743906119e-12,1.0541364613231878e-22,1.6170680311895104e-26,1.98896741451489e-09,3.448881056185866e-13,5.343445303323344e-15,7.497108726656287e-14,7.537035430012791e-14
1.171096938140647e-10,0.7665840900781339,3.76,0.0,0.9762988258561803,0.999999997670138,9.180077670247374e-17,1.180838598875367e-28,1.2350491064899333e-17,1.2724916237175674e-06,4.0493545236450315e-09,7.43329764356082e-11,4.568099130110743e-12,1.6515238116604004e-09,1.6299441046155032e-12,1.702905443235754e-22,3.020114185773283e-26,2.3292783790958534e-09,4.728732150372293e-13,7.336271775757838e-15,1.0284387587562456e-13,1.0326089348387766e-13
1.5263960361801064e-10,0.7665841159429728,3.76,0.0,0.9762986315543407,0.9999999969630382,2.0295931662314265e-16,3.197952242064169e-28,2.094435920709156e-17,1.6585231112730116e-06,5.306088306013423e-09,1.2627678239397606e-10,7.78805481517491e-12,2.1537140838553006e-09,2.7699392569016778e-12,3.8304209587861947e-22,8.867870002903096e-26,3.0359710001287516e-09,8.028719314987567e-13,1.2491046511076877e-14,1.747977696879266e-13,1.751713489496354e-13
1.84616522441562e-10,0.766584139221412,3.76,0.0,0.9762984566707623,0.9999999963265518,3.5903171788204063e-16,6.5729968325574075e-28,3.059028073075337e-17,2.0059396116298257e-06,6.448359826547064e-09,1.8472460828195713e-10,1.1429464861694317e-11,2.6061497492820863e-09,4.053339106415276e-12,6.87882514631499e-22,1.9211461597735158e-25,3.6719995544997546e-09,1.1738983753321992e-12,1.830974174135861e-14,2.5581885475608774e-13,2.560394970056064e-13
2.1659344126511334e-10,0.7665841624999319,3.76,0.0,0.9762982817758888,0.9999999956899739,5.798359043679641e-16,1.2074833809347444e-27,4.203806543072733e-17,2.353344897037167e-06,7.601245485644732e-09,2.542547540882262e-10,1.5782015319004668e-11,3.0590319146498634e-09,5.5808430475501136e-12,1.1274265933549904e-21,3.6798342695707467e-25,4.308033070337745e-09,1.6149446126655226e-12,2.525258704866942e-14,3.5226810656112123e-13,3.522045147645978e-13
2.8054727891221604e-10,0.7665842090572169,3.76,0.0,0.976297931952257,0.999999994416544,1.260691112144788e-15,3.270278963705127e-27,7.030487392541164e-17,3.048121824613708e-06,9.938832576405664e-09,4.265605575113445e-10,2.664681909912472e-11,3.966160857768776e-09,9.369140610793499e-12,2.5249419773872235e-21,1.066725018736321e-24,5.580115138779895e-09,2.70666693731839e-12,4.2536859068627874e-14,5.915354164829217e-13,5.904191371744579e-13
