Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36)
1.5728639000000002e-08,0.48102428529203883,3.76,0.0,0.978720411355444,0.9999999999833726,0.0,6.620202219142256e-42,2.3483041167993733e-28,6.50698798412711e-11,1.6584460537853503e-11,1.3501557798051516e-14,2.902355538365076e-14,2.5676149268517337e-14,4.940500647033893e-16,2.3709721765659897e-27,8.754732853643716e-31,1.6602341841424834e-11,2.4909309573017997e-14
2.4117247000000003e-08,0.4810242852934933,3.76,0.0,0.9787204113292096,0.9999999999744698,0.0,3.2720884767499913e-41,4.014403702473002e-28,9.974281529161951e-11,2.541751245769444e-11,3.165705698108317e-14,6.804327247510476e-14,4.7106702333941294e-14,1.3488013941685695e-15,8.635628086418588e-27,5.025657698561836e-30,2.5472137640541308e-11,5.824344635415697e-14
3.2505855000000003e-08,0.48102428529494706,3.76,0.0,0.9787204113029673,0.9999999999655421,0.0,9.493471850333386e-41,5.704579271572531e-28,1.343942625420673e-10,3.424235459462144e-11,5.744972941270755e-14,1.234682925077751e-13,7.374754666054387e-14,2.761900020837421e-15,2.0842793435906154e-26,1.5755529749900908e-29,3.435257010352211e-11,1.054286055631345e-13
4.089446300000001e-08,0.48102428529640007,3.76,0.0,0.9787204112767165,0.99999999995659,0.0,2.147656989643273e-40,7.391758604706033e-28,1.6902433507865852e-10,4.3059109952377094e-11,9.08748516550484e-14,1.9528369079254268e-13,1.0545350280743994e-13,4.846148496753921e-15,4.09748415551603e-26,3.7706390894400174e-29,4.324365668250631e-11,1.6635602352454823e-13
4.928307100000001e-08,0.48102428529785235,3.76,0.0,0.9787204112504573,0.9999999999476136,0.0,4.182225488662918e-40,9.073321805828765e-28,2.036331483100921e-10,5.186790153858987e-11,1.3192772652947099e-13,2.83474627158309e-13,1.420793447456246e-13,7.714411521647926e-15,7.108824534309123e-26,7.690125417558045e-29,5.214541489858831e-11,2.40914987623463e-13
6.6060287e-08,0.48102428530075514,3.76,0.0,0.9787204111979132,0.9999999999295884,0.0,1.197379348889465e-39,1.2428861435058111e-27,2.7278741848864376e-10,6.946203025525333e-11,2.3689969080169e-13,5.089298098548153e-13,2.2957499869600723e-13,1.620357942335628e-14,1.6898504425494114e-25,2.3655465915785715e-28,6.998100802661905e-11,4.3052296242391434e-13
8.283750300000001e-08,0.48102428530365526,3.76,0.0,0.9787204111453345,0.999999999911467,0.0,2.71776468625219e-39,1.5777797364209125e-27,3.4185798045336693e-10,8.70256683602228e-11,3.7232888011391267e-13,7.997196470744135e-13,3.3513971283748495e-13,2.907956846369015e-14,3.313654304442516e-25,5.6607748492206535e-28,8.785947992449385e-11,6.733818877502541e-13
9.961471900000002e-08,0.4810242853065531,3.76,0.0,0.97872041109272,0.9999999998932505,0.0,5.337212671585277e-39,1.9124155092449615e-27,4.1084577562328615e-10,1.0455974273070379e-10,5.38177051145831e-13,1.1557272561229123e-12,4.576801120254709e-13,4.719061705547252e-14,5.762735804864624e-25,1.1621902287143816e-27,1.0578095884566913e-10,9.685885788167473e-13
9.999999999999998e-08,0.4810242853102515,3.76,0.0,0.9787204110915114,0.999999999892831,0.0,5.4138468701590377e-39,1.9200964618191576e-27,4.1242908337534547e-10,1.049620639250328e-10,5.423426854527762e-13,1.1646679850937825e-12,4.60685877049122e-13,4.767399230850533e-14,5.830125097411858e-25,1.1800811113626133e-27,1.0619302334810326e-10,9.759758879722128e-13
1.2104883610135946e-07,0.4810242853102515,3.76,0.0,0.9787204110254482,0.9999999998698398,0.0,1.0999232991107192e-38,2.339406547747379e-27,4.988637329809595e-10,1.2691910356923793e-10,7.942576150598855e-13,1.7052633844359591e-12,6.373839700122775e-13,7.914378887636555e-14,1.0384005856281079e-24,2.526367652810413e-27,1.2873970117528812e-10,1.4205218046426591e-12
1.424829532027189e-07,0.48102428531394587,3.76,0.0,0.9787204109581156,0.9999999998462762,0.0,2.0206568876218013e-38,2.765698731378086e-27,5.867498791538703e-10,1.4923316327402266e-10,1.09985328527316e-12,2.3608516353485817e-12,8.413173969595136e-13,1.2233285190809024e-13,1.703275405141812e-24,4.869978024354643e-27,1.517690301586761e-10,1.9547509993965165e-12
1.6391707030407833e-07,0.4810242853176366,3.76,0.0,0.978720410890721,0.9999999998225613,0.0,3.407291217719486e-38,3.1913386806951394e-27,6.745060086090335e-10,1.7150344477456619e-10,1.4548899329924748e-12,3.122278937677207e-12,1.0676883959179858e-12,1.7814179456693381e-13,2.610064622269329e-24,8.569381562764341e-27,1.7486914073188417e-10,2.5695558069707506e-12
1.8535118740543777e-07,0.4810242853213236,3.76,0.0,0.978720410823263,0.9999999997986966,0.0,5.383159839911969e-38,3.616396052250892e-27,7.621338577817445e-10,1.9373134337956304e-10,1.859295300627684e-12,3.989341753897734e-12,1.3148570797992503e-12,2.478346469396713e-13,3.798679382420511e-24,1.4071534061018164e-26,1.9804020521306376e-10,3.2632720321307646e-12
2.067853045067972e-07,0.4810242853250069,3.76,0.0,0.9787204107557407,0.9999999997746832,0.0,8.081640763788049e-38,4.040852839188874e-27,8.496351461232045e-10,2.1591817045228923e-10,2.312997401702893e-12,4.96184100403125e-12,1.5812840211424782e-12,3.3259568016658247e-13,5.31035619705546e-24,2.1891182818993918e-26,2.2128237967718924e-10,4.034252192577726e-12
2.2821942160815664e-07,0.4810242853286868,3.76,0.0,0.978720410688153,0.9999999997505233,0.0,1.164333000768339e-37,4.46466735170891e-27,9.37011558653189e-10,2.38065158809923e-10,2.8159253112057126e-12,6.039583212763326e-12,1.865523530301981e-12,4.3353516251032776e-13,7.187033079576946e-24,3.2597185460058595e-26,2.4459580606894295e-10,4.880882176153858e-12
2.710876558108755e-07,0.4810242853360365,3.76,0.0,0.9787204105527778,0.9999999997017682,0.0,2.1975871095532006e-37,5.3105122850591296e-27,1.1113962843858732e-09,2.8224398109805367e-10,3.969180558308296e-12,8.510058685390106e-12,2.4823387420120503e-12,6.878513749822952e-13,1.2211112579109754e-23,6.545716158429906e-26,2.9143687641858587e-10,6.794841433777069e-12
3.096467513053279e-07,0.4810242853426365,3.76,0.0,0.9787204104307784,0.9999999996574266,0.0,3.581915743870065e-37,6.069339950033943e-27,1.2678411636425591e-09,3.218561790544168e-10,5.174029221788724e-12,1.1090012720491579e-11,3.0858831033783372e-12,9.811519163664316e-13,1.8425054212638988e-23,1.1238919862329636e-25,3.338139883375557e-10,8.75948538652941e-12
3.4434993725033505e-07,0.48102428534856806,3.76,0.0,0.9787204103207875,0.9999999996171312,0.0,5.282575373941764e-37,6.750705077776226e-27,1.4083167592040883e-09,3.5740974581143255e-10,6.3937082874296465e-12,1.3700858019755762e-11,3.6634033288440935e-12,1.3012824571288157e-12,2.5625523269951135e-23,1.7330315042098466e-25,3.7215178532049024e-10,1.0717144723446665e-11
3.911390617454355e-07,0.48102428535655395,3.76,0.0,0.9787204101721986,0.999999999562231,0.0,8.397662632111319e-37,7.667058934557025e-27,1.5972396011421824e-09,4.052053209593785e-10,8.240590001104075e-12,1.7652954943394177e-11,4.486590048961849e-12,1.8223679402173243e-12,3.812732096970813e-23,2.918312819595981e-25,4.2413931491578184e-10,1.3629781530542994e-11
4.3792818624053596e-07,0.48102428536452746,3.76,0.0,0.9787204100232698,0.9999999995066874,0.0,1.2635501413446035e-36,8.58082311019645e-27,1.7856298314028843e-09,4.5284642658073883e-10,1.0319318083589606e-11,2.2099610394600118e-11,5.353551976521879e-12,2.451696183643621e-12,5.432680511394812e-23,4.640378068363781e-25,4.764693849427051e-10,1.684318209667101e-11
4.847173107356365e-07,0.4810242853724893,3.76,0.0,0.9787204098739962,0.9999999994505141,0.0,1.8197107528447472e-36,9.492068720335979e-27,1.973501680093884e-09,5.003391215622207e-10,1.2629246797105295e-11,2.703925627556881e-11,6.257358756624772e-12,3.1944037303100895e-12,7.478347776721379e-23,7.04830389837505e-25,5.291422210992352e-10,2.034376188094181e-11
5.315064352307369e-07,0.48102428538044073,3.76,0.0,0.9787204097243745,0.9999999993937236,0.0,2.5287540065749482e-36,1.0400859505844102e-26,2.1608687682507995e-09,5.476886151498807e-10,1.516974756024318e-11,3.2470382228532606e-11,7.1921035780035114e-12,4.054818066265888e-12,1.0008215144724719e-22,1.0312645253504758e-24,5.821578923364717e-10,2.4118528259795975e-11
5.782955597258374e-07,0.48102428538838243,3.76,0.0,0.9787204095744014,0.9999999993363285,0.0,3.411458683404464e-36,1.1307261384150582e-26,2.347744135220252e-09,5.948993904457846e-10,1.794020814445458e-11,3.839152759844919e-11,8.152756181630707e-12,5.036573883529409e-12,1.3083286934259396e-22,1.4626436480364768e-24,6.355163335499374e-10,2.815505394728564e-11
6.250846842209378e-07,0.48102428539631553,3.76,0.0,0.9787204094240745,0.9999999992783413,0.0,4.488782022016924e-36,1.2211333802534239e-26,2.5341402636959e-09,6.419753069009363e-10,2.0940031973689307e-11,4.4801274915056567e-11,9.135040693294139e-12,6.1427097554022225e-12,1.676706321116041e-22,2.0206090258481846e-24,6.892173645537726e-10,3.2441452659304344e-11
