Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168)
3.782907810059516e-08,0.34605532946940576,3.76,0.0,0.7115878083323183,0.9999973200774336,2.1454635251957057e-07,1.3330217090851173e-17,1.2273590941940855e-12,0.0006600250054741511,1.9320048546922936e-05,2.3697288732232103e-05,8.805242116012106e-06,1.1046506051265525e-05,1.92164267478062e-06,3.2002002358244947e-06,8.105110240073239e-09,1.2428185377578662e-07,1.2219350268335102e-11,4.982146299728498e-09,1.0577749792962393e-12,4.87553965083772e-07,3.282316818026611e-07,1.1615634077074917e-11,1.3769194208120162e-10,1.9875731125680173e-07,4.0423954431783787e-13,1.8444507608209914e-11,7.456530864973947e-20,4.629516776748472e-20,2.8139202704978562e-11,5.364314858949819e-16,7.868821902973627e-12,1.241869765106599e-08,2.6872706750406314e-14,1.8824486918505145e-18,3.827113610457413e-14,4.818445683857025e-13,8.424954381367691e-20,5.861559851021818e-11,1.969973704314805e-18,1.1602127589937942e-15,2.2207313702895118e-14,7.347520932140992e-18,1.2982109571674787e-23,3.368185768240121e-24,2.474540394589337e-10,8.119627186808443e-10,7.655808279917477e-18
3.859675952950461e-08,0.34605580732271524,3.76,0.0,0.7115796160645231,0.999997240457686,2.2942371944399208e-07,1.4356329826999012e-17,1.2548276059116394e-12,0.0006729245488087991,1.9973209130036585e-05,2.465666351731416e-05,9.202480660604545e-06,1.1647293638304454e-05,1.9656388167750314e-06,3.4068625190855343e-06,8.41080680564643e-09,1.2746459290715824e-07,1.348981527744126e-11,5.193331874177505e-09,1.1890007024853824e-12,5.121589772101372e-07,3.417745231299761e-07,1.2528025249689342e-11,1.4998225777164928e-10,2.0926717747285376e-07,4.5395533511877e-13,1.9071455059352592e-11,8.897878551995397e-20,5.570600535926137e-20,2.9110514358940076e-11,5.989867715117297e-16,8.63560998975532e-12,1.270659610192422e-08,3.074195838014683e-14,2.0896667505368316e-18,4.133487348183936e-14,5.190238292502299e-13,9.590337374137225e-20,6.368028566616618e-11,2.2965721548517617e-18,1.324097192599066e-15,2.3420206875023626e-14,8.541224743861516e-18,1.5146614071293763e-23,3.853498394608475e-24,2.619969143172405e-10,8.668520338392324e-10,8.319947239201371e-18
4.013212238732352e-08,0.34605676677052616,3.76,0.0,0.7115631448468329,0.9999970770290484,2.614353262749163e-07,1.6577330901006345e-17,1.310089454223597e-12,0.0006986659157522001,2.1306225043991687e-05,2.6631031573029625e-05,1.0026419359346814e-05,1.2909480787362735e-05,2.05454013554062e-06,3.848100871525001e-06,9.03624415362923e-09,1.338287894898089e-07,1.635674914336581e-11,5.6302027203375984e-09,1.4931366062828722e-12,5.637758380142215e-07,3.696708568937863e-07,1.4526819804477474e-11,1.7715721246603242e-10,2.313138987225776e-07,5.689173255798634e-13,2.035109878349248e-11,1.2554718782596247e-19,7.986886509141882e-20,3.109379301402408e-11,7.426227622711076e-16,1.0344510671405831e-11,1.3281819181879245e-08,3.9940877031237546e-14,2.5621149481008495e-18,4.79918475123232e-14,5.995507043318096e-13,1.2342338896911974e-19,7.484087898418849e-11,3.095603428997333e-18,1.7126230630582045e-15,2.5968868228206322e-14,1.1449645797005525e-17,2.0447783882323007e-23,5.008109909517517e-24,2.928695220560945e-10,9.847056164895827e-10,9.783829218221016e-18
4.1513948959360534e-08,0.3460576346294428,3.76,0.0,0.7115482206450777,0.9999969250298356,2.929509621742148e-07,1.8778860650184744e-17,1.3602596627156907e-12,0.0007217674774655582,2.2536186335613327e-05,2.847121575101546e-05,1.0801655259050037e-05,1.4116031513550443e-05,2.135620657902593e-06,4.27827194057761e-06,9.615009583800143e-09,1.3955328315592484e-07,1.9347325029509497e-11,6.0401146604826845e-09,1.8207977218045007e-12,6.13038712420815e-07,3.9570027727646047e-07,1.6540005894619667e-11,2.048080245411405e-10,2.523445365019511e-07,6.92405361839425e-13,2.1531950627904874e-11,1.6946426953350106e-19,1.092987442639252e-19,3.292482570804252e-11,8.9566076166084e-16,1.2099476386771285e-11,1.3798858065902423e-08,5.0158147683453914e-14,3.0613371820971936e-18,5.462002376605988e-14,6.794273485731081e-13,1.5374655454205486e-19,8.615185048458752e-11,4.014227995218841e-18,2.142787116589011e-15,2.840576218987533e-14,1.4777132167358623e-17,2.6550007197542206e-23,6.29180933399791e-24,3.227647247671533e-10,1.1004262007938315e-09,1.126787273984749e-17
4.289577553139755e-08,0.34605850671485944,3.76,0.0,0.7115332001730693,0.9999967682228158,3.2717912624636033e-07,2.1184083182692015e-17,1.4109192413694592e-12,0.0007448069727868241,2.3794616830447823e-05,3.0371155988002762e-05,1.1608910351835085e-05,1.53910807865478e-05,2.217750733910352e-06,4.741128590795416e-06,1.0208671798687061e-08,1.4527291257616743e-07,2.277261739460245e-11,6.466101477250212e-09,2.207403674094532e-12,6.650305763319743e-07,4.2260230620527736e-07,1.8774884486053404e-11,2.357574062915298e-10,2.7451974448945203e-07,8.376783294770645e-13,2.2740257661233813e-11,2.2673638042676385e-19,1.4817401819109679e-19,3.4799254046114674e-11,1.0744250496010834e-15,1.4079858290587687e-11,1.4315266664498616e-08,6.255391931517255e-14,3.640217738896781e-18,6.188911336016052e-14,7.667344377528724e-13,1.902698415545856e-19,9.876796889341577e-11,5.164801342494949e-18,2.663260100873495e-15,3.098154256513269e-14,1.8926442886593797e-17,3.4201576576413156e-23,7.850875747761011e-24,3.5473959141147845e-10,1.2257951452923056e-09,1.292357234003906e-17
4.427760210343456e-08,0.34605938312242623,3.76,0.0,0.7115180820395507,0.9999966064598766,3.642678106268744e-07,2.3804835458387e-17,1.4621507635412463e-12,0.0007677845425307886,2.5081355796872768e-05,3.2330690933260764e-05,1.2448268262038661e-05,1.6736191858698718e-05,2.300965539595973e-06,5.237994561237466e-06,1.0817109491071317e-08,1.509862312694416e-07,2.6680591033306887e-11,6.90839054962243e-09,2.6613919431684593e-12,7.198162676609439e-07,4.5037548002740115e-07,2.1250760997296157e-11,2.702827168218282e-10,2.978561948734522e-07,1.007745923157996e-12,2.3975862556049212e-11,3.0084929529929686e-19,1.991049238662919e-19,3.6716858579171695e-11,1.2823434613745795e-15,1.630592520626451e-11,1.4831046474031813e-08,7.750591999842652e-14,4.308898079795202e-18,6.983612533053318e-14,8.618832617815004e-13,2.3402127453594386e-19,1.127962993867447e-10,6.596361598456844e-18,3.2895530518114307e-15,3.369939035119278e-14,2.406738105483322e-17,4.3731865709589555e-23,9.733669154415794e-24,3.8887241735189676e-10,1.3613091083445898e-09,1.4765023865895488e-17
4.5659428675471575e-08,0.346060263947295,3.76,0.0,0.7115028648449604,0.9999964395924005,4.0436843633443874e-07,2.6653546650627034e-17,1.5140447082221724e-12,0.0007907003276792784,2.63962587586675e-05,3.43496596489766e-05,1.3319800438302419e-05,1.8152919588542123e-05,2.385300228502219e-06,5.7701967268674435e-06,1.1440213182420328e-08,1.5669199780509976e-07,3.1122908435966146e-11,7.36721742470734e-09,3.1921175267774412e-12,7.774588615554831e-07,4.790183639844526e-07,2.3988239555911413e-11,3.08674936632065e-10,3.2236944069425756e-07,1.2059236926541516e-12,2.5238623922079663e-11,3.960568659986394e-19,2.653140667419093e-19,3.867744854407797e-11,1.5231895596969144e-15,1.8799038594790407e-11,1.5346202585430814e-08,9.544320066620554e-14,5.078506984657832e-18,7.849885251647141e-14,9.652933950758628e-13,2.861616649430939e-19,1.2834933667082877e-10,8.366443303749608e-18,4.039289936777179e-15,3.6562469406675935e-14,3.039849308944075e-17,5.552764075484135e-23,1.1995285778345744e-23,4.2524177259250687e-10,1.5074748362666552e-09,1.6807037743897715e-17
4.704125524750859e-08,0.3460611492840944,3.76,0.0,0.7114875471821013,0.9999962674713371,4.4763575787511767e-07,2.974332551886035e-17,1.5666999188542344e-12,0.0008135544694256784,2.773919596485968e-05,3.642790160981819e-05,1.4223567522917865e-05,1.9642811295582977e-05,2.470789928585688e-06,6.339064621270465e-06,1.2077884147854495e-08,1.6238914731525324e-07,3.615509430517135e-11,7.84282584973127e-09,3.809922618773618e-12,8.380196308243116e-07,5.085295533347001e-07,2.700928140440889e-11,3.5123881922831513e-10,3.4807396792327863e-07,1.4358531390833034e-12,2.6528414811155982e-11,5.175198922866502e-19,3.5075542237244634e-19,4.068085955130564e-11,1.8011067958415497e-15,2.158167526091959e-11,1.5860742961242396e-08,1.1685125667349362e-13,5.961228058671652e-18,8.791586336300131e-14,1.077392608554466e-12,3.479970729218319e-19,1.4554511292702576e-10,1.0542242664881164e-17,4.9324242372869044e-15,3.9573928225489795e-14,3.815092263155731e-17,7.004097971071272e-23,1.4698265418094107e-23,4.6392645960402907e-10,1.6648088985937686e-09,1.906515315903836e-17
4.84230818195456e-08,0.34606203922703904,3.76,0.0,0.7114721276367514,0.9999960899472695,4.942277660190011e-07,3.308805871278269e-17,1.6202240715636165e-12,0.0008363471092153697,2.911005099793833e-05,3.856525670260434e-05,1.5159620580240731e-05,2.120740753369427e-05,2.5574697395574045e-06,6.9459300135839845e-06,1.2730033432366806e-08,1.6807676697652862e-07,4.183670175980045e-11,8.335467804924203e-09,4.526209395425937e-12,9.015580174831442e-07,5.389076742814317e-07,3.03372642357853e-11,3.9829303344134885e-10,3.749832477566868e-07,1.7015223905392865e-12,2.7845121357525275e-11,6.714650247882806e-19,4.6025214813028e-19,4.2726951491799666e-11,2.12063368023518e-15,2.467744996757616e-11,1.6374677876048288e-08,1.4227748548865156e-13,6.970370035719144e-18,9.812649436411806e-14,1.198616787696112e-12,4.209920332473712e-19,1.6450730282248141e-10,1.3201904820262236e-17,5.991470931183868e-15,4.273690154488495e-14,4.759266109263128e-17,8.779802686550811e-23,1.7913351942799182e-23,5.05005474366282e-10,1.8338374170844154e-09,2.1555651845560123e-17
4.9804908391582616e-08,0.3460629338699413,3.76,0.0,0.7114566047882231,0.9999959068704705,5.443055893172305e-07,3.670252057372992e-17,1.674734152162813e-12,0.0008590783887826815,3.0508719505952034e-05,4.076156522607352e-05,1.612800219972563e-05,2.2848242791722296e-05,2.645374730602382e-06,7.592126533306279e-06,1.3396580949661485e-08,1.7375407488422316e-07,4.823148008848075e-11,8.84540353731485e-09,5.3535158695288e-12,9.681316141686546e-07,5.70151384743648e-07,3.399704241888988e-11,4.5017029753395224e-10,4.0310978869641803e-07,2.007287432331294e-12,2.9188641539009585e-11,8.653656428326074e-19,5.996552390149558e-19,4.481560664033218e-11,2.486729780056637e-15,2.8111137977600703e-11,1.6888019487641584e-08,1.7233698197891167e-13,8.120439411772094e-18,1.0917084307726111e-13,1.3294098553222154e-12,5.0678348127724185e-19,1.8536532560111888e-10,1.6435939538122127e-17,7.241754165552526e-15,4.605451180503834e-14,5.903321315884472e-17,1.0940862752384538e-22,2.1720305444746318e-23,5.48557970325052e-10,2.015095789862386e-09,2.429557149122416e-17
5.118673496361963e-08,0.34606383330626905,3.76,0.0,0.7114409772098756,0.9999957180909492,5.980333947667871e-07,4.0602495092416636e-17,1.7303569412987302e-12,0.0008817484501846819,3.193510805169086e-05,4.3016667890747004e-05,1.712874748117528e-05,2.456684612534117e-05,2.7345399384459854e-06,8.278989339767365e-06,1.4077454660149484e-08,1.7942040199214965e-07,5.5407544033841274e-11,9.372901595487085e-09,6.30559490632755e-12,1.037796154789991e-06,6.022593749929432e-07,3.801500812478564e-11,5.072175054872166e-10,4.3246518807858525e-07,2.3578938942636474e-12,3.055888405268081e-11,1.1081470834369176e-18,7.760255845188268e-19,4.6946727944223336e-11,2.9048026110425867e-15,3.190869753293602e-11,1.7400781516485395e-08,2.077186867540738e-13,9.427215539396296e-18,1.210897616486919e-13,1.4702236981202962e-12,6.071954489106206e-19,2.082544441513403e-10,2.034877575601055e-17,8.711671430199087e-15,4.952987046872398e-14,7.282871161930167e-17,1.3557691465025139e-22,2.6208770333569464e-23,5.946632250245922e-10,2.2091284115667706e-09,2.730271874139083e-17
5.256856153565664e-08,0.3460647376291766,3.76,0.0,0.711425243469584,0.9999955234584976,6.555782881745684e-07,4.480491052638462e-17,1.7872295067230505e-12,0.0009043574358323807,3.3389133065369834e-05,4.5330405818878286e-05,1.81618849168294e-05,2.6364741728197746e-05,2.8250003657114658e-06,9.007854830289211e-06,1.4772589820517485e-08,1.8507517656726192e-07,6.343754449447599e-11,9.918238865326342e-09,7.397496387953992e-12,1.1106055132343564e-06,6.352303681946595e-07,4.241915332471882e-11,5.697958463855609e-10,4.6306018263449395e-07,2.758499374326533e-12,3.1955767291946493e-11,1.4104185001550014e-18,9.9784194108036e-19,4.912023747572667e-11,3.3807355412940437e-15,3.609729228690147e-11,1.7912978998454727e-08,2.4919189244606675e-13,1.0907828502467639e-17,1.3392485076006778e-13,1.621518096246046e-12,7.242545794093531e-19,2.333158610463205e-10,2.5060463084148472e-17,1.0432974626141642e-14,5.3166079217830107e-14,8.938750695174952e-17,1.6711290339729154e-22,3.1479202988802203e-23,6.434006090365915e-10,2.4164883907932566e-09,3.0595681802359384e-17
5.3950388107693656e-08,0.34606564693154057,3.76,0.0,0.7114094021301673,0.9999953228227243,7.171102146652361e-07,4.932798727554788e-17,1.8454997020922245e-12,0.0009269054885197373,3.487071989080187e-05,4.7702620544482354e-05,1.9227437181107207e-05,2.824344944827742e-05,2.9167909795272456e-06,9.78006038260032e-06,1.5481928298854002e-08,1.9071791076586069e-07,7.239884057676544e-11,1.0481700606784927e-08,8.645652553393187e-12,1.1866117092093997e-06,6.690631208769602e-07,4.7239132647474054e-11,6.382809175722777e-10,4.949046977799649e-07,3.214696286914738e-12,3.3379218414886323e-11,1.7847338814390167e-18,1.2752376452141467e-18,5.1336075032420216e-11,3.920916605432631e-15,4.070531370212651e-11,1.8424628089464578e-08,2.976131168609733e-13,1.2580839563542589e-17,1.4771845394957426e-13,1.7837606560191238e-12,8.602064128002752e-19,2.606968115279661e-10,3.0708529804411994e-17,1.2441068596673853e-14,5.69662310386835e-14,1.0917626249912244e-16,2.049451601678349e-22,3.7643859135977767e-23,6.948495569725212e-10,2.6377372658000108e-09,3.419384264012549e-17
5.533221467973067e-08,0.34606656130598945,3.76,0.0,0.7113934517497855,0.9999951160330891,7.828018597011352e-07,5.4191399666716387e-17,1.905326671904087e-12,0.0009493927514507902,3.637980191633634e-05,5.0133154013441014e-05,2.0325421837335112e-05,3.0204485254651603e-05,3.0099467103493338e-06,1.0596944127710766e-05,1.6205417949488414e-08,1.9634818902797647e-07,8.237367292311239e-11,1.106358049168588e-08,1.0067966531040724e-11,1.265864920389702e-06,7.037564233413714e-07,5.2506327080741475e-11,7.130628322435129e-10,5.280078954323519e-07,3.732535222710257e-12,3.4829172495371254e-11,2.245884912181869e-18,1.6202690882921918e-18,5.359419687167764e-11,4.532268177154529e-15,4.576240342555017e-11,1.8935745910580092e-08,3.539333506224662e-13,1.4466323998510374e-17,1.6251365227524958e-13,1.9574267454233985e-12,1.0175324554313398e-18,2.9055065342832775e-10,3.745000694569575e-17,1.4775327654343526e-14,6.093341120685865e-14,1.3272658550503362e-16,2.5013461283363478e-22,4.482784267592933e-23,7.490895404179423e-10,2.8734447192966387e-09,3.8117388773715444e-17
5.671404125176768e-08,0.3460674808449309,3.76,0.0,0.7113773908822992,0.9999949029389308,8.52828550906098e-07,5.941645233595492e-17,1.9668813622378372e-12,0.0009718193682651235,3.7916319783896385e-05,5.262184858368075e-05,2.1455851968573127e-05,3.2249361658549675e-05,3.1045024509727588e-06,1.145984475036039e-05,1.6943012042857897e-08,2.0196565807741648e-07,9.344933826412034e-11,1.1664180642583077e-08,1.1683904096475188e-11,1.3484135001962926e-06,7.393091000220283e-07,5.825390850849525e-11,7.945463220162962e-10,5.623782202283265e-07,4.318548811267192e-12,3.6305571750745774e-11,2.8112285456547834e-18,2.0472192226040136e-18,5.589457456836945e-11,5.222277593551435e-15,5.129947564994783e-11,1.9446350428061646e-08,4.19205688349345e-13,1.658595652136763e-17,1.7835425929517808e-13,2.14299943193346e-12,1.1989681012730587e-18,3.230369540170221e-10,4.54636286939713e-17,1.7479430690589454e-14,6.507069817988937e-14,1.6064222672847118e-16,3.038895729212216e-22,5.317022037905384e-23,8.062000426654789e-10,3.124188292970582e-09,4.238732466155861e-17
5.80958678238047e-08,0.3460684056405768,3.76,0.0,0.711361218077605,0.9999946833894916,9.273681609624934e-07,6.502627188584615e-17,2.030347036834063e-12,0.0009941854830618749,3.948022066954502e-05,5.5168547025420184e-05,2.2618736739512844e-05,3.437958809263602e-05,3.2004930557067385e-06,1.2370101314226035e-05,1.7694668745949833e-08,2.0757001832298768e-07,1.0571836513758331e-10,1.2283811672692729e-08,1.3514588680549316e-11,1.4343040005522562e-06,7.757200098018564e-07,6.451690507388223e-11,8.831508350044915e-10,5.980234440366512e-07,4.9797760760640695e-12,3.780836483942847e-11,3.5010522938063925e-18,2.5729395822330894e-18,5.823719398552281e-11,5.9990287323339115e-15,5.734873947097153e-11,1.9956460361788393e-08,4.945933516096096e-13,1.8963099382464002e-17,1.9528481632976246e-13,2.3409694222309203e-12,1.4075213899823026e-18,3.583215737748554e-10,5.4952219550293237e-17,2.0601715430850696e-14,6.938116440574702e-14,1.936068817278506e-16,3.6758204237851326e-22,6.282520433491785e-23,8.662605350909194e-10,3.390553102378252e-09,4.702548268089612e-17
5.947769439584171e-08,0.3460693357849646,3.76,0.0,0.7113449318819379,0.9999944572339389,1.0066010118340877e-06,7.104601448823019e-17,2.095919798008124e-12,0.0010164912404224962,4.10714576291375e-05,5.777309252148437e-05,2.3814081896264956e-05,3.65966712522961e-05,3.2979533396891264e-06,1.3329053109145402e-05,1.84603506490689e-08,2.131610164613987e-07,1.1927869071819652e-10,1.2922792726909323e-08,1.558289965004554e-11,1.5235811989747406e-06,8.129880462947673e-07,7.133226735670525e-11,9.793106299161714e-10,6.349507086722775e-07,5.723787271294717e-12,3.933750622198987e-11,4.3389803945000244e-18,3.2172345363560394e-18,6.06220543478072e-11,6.871234463226632e-15,6.39437212483509e-11,2.0466095114589863e-08,5.8137811162997e-13,2.1622892932140507e-17,2.133505879719957e-13,2.5518350036109626e-12,1.6464925826034813e-18,3.96576747100085e-10,6.614527893326097e-17,2.419555239063744e-14,7.386787705482623e-14,2.3239262795182776e-16,4.427653797267692e-22,7.396340305812109e-23,9.293504550181332e-10,3.6731315527968955e-09,5.2054533701049313e-17
6.085952096787872e-08,0.3460702713699784,3.76,0.0,0.7113285308381545,0.9999942243213823,1.0907097805413306e-06,7.750309011262275e-17,2.163809111931976e-12,0.0010387367854324387,4.268998900293594e-05,6.043532866768248e-05,2.5041890210481566e-05,3.890211540254305e-05,3.3969180783173678e-06,1.4338039517778986e-05,1.924002433481522e-08,2.1873843910076266e-07,1.3423383870056094e-10,1.3581451523915946e-08,1.791357387914736e-11,1.6162881293932479e-06,8.511121381015954e-07,7.873893535342749e-11,1.0834748666704295e-09,6.731665667432143e-07,6.558709189126176e-12,4.0892955579999226e-11,5.352424176030416e-18,4.003291738077789e-18,6.304916740789958e-11,7.84826999640443e-15,7.111928697938833e-11,2.097527471630085e-08,6.809691192910681e-13,2.4592348624395735e-17,2.325975578183587e-13,2.776101986933187e-12,1.9194946075622176e-18,4.379811599621942e-10,7.930177417890246e-17,2.8319739070466063e-14,7.853389868316128e-14,2.778690325267347e-16,5.311934016316356e-22,8.677314478118175e-23,9.955491849388347e-10,3.9725230565771285e-09,5.749799725248547e-17
6.224134753991574e-08,0.3460712124873653,3.76,0.0,0.711312013485989,0.9999939845008913,1.1798794066781619e-06,8.442740407987976e-17,2.2342383378906593e-12,0.0010609222637019268,4.4335777873802685e-05,6.315509947324682e-05,2.6302161873442168e-05,4.1297422653717215e-05,3.4974220067765985e-06,1.539839989947254e-05,2.003365998551118e-08,2.243021072586523e-07,1.5069309818208677e-10,1.4260124399395915e-08,2.053331063066581e-11,1.7124661161468567e-06,8.900912490447638e-07,8.677790624848736e-11,1.1961076939890156e-09,7.126770205960559e-07,7.493250926718707e-12,4.247467728734676e-11,6.573080112296656e-18,4.958162993377654e-18,6.551855669720518e-11,8.940207172962581e-15,7.891166469228245e-11,2.1484019778946025e-08,7.949121499139363e-13,2.790044462837698e-17,2.530724244012886e-13,3.0142836509107614e-12,2.2304743943788483e-18,4.827200245226833e-10,9.471315323798988e-17,3.303891493043671e-14,8.338228783342855e-14,3.3101296672683026e-16,6.348409986099448e-22,1.0146187621190398e-22,1.0649360329845178e-09,4.289333752458083e-09,6.338025129422952e-17
6.362317411195275e-08,0.3460721592287528,3.76,0.0,0.7112953783622927,0.9999937376215071,1.2742970018245218e-06,9.185161665377167e-17,2.3074452611422266e-12,0.001083047821385923,4.600879157426011e-05,6.593224936133111e-05,2.7594894844992722e-05,4.378409320875037e-05,3.599499819648445e-06,1.6511473489390784e-05,2.0841231025707075e-08,2.2985187161822843e-07,1.6877170349567825e-10,1.495915635034992e-08,2.3470879766294566e-11,1.812154810673285e-06,9.29924378384829e-07,9.549230296632446e-11,1.3176883343773755e-09,7.534875593547776e-07,8.53673010280557e-12,4.408263992920273e-11,8.037479235966609e-18,6.11330004341656e-18,6.803025685363794e-11,1.0157849654892402e-14,8.735846686629357e-11,2.199235146113521e-08,9.248992702730588e-13,3.157822399332618e-17,2.7482259730712883e-13,3.266900687510809e-12,2.583735067781584e-18,5.309851507465291e-10,1.1270658870265578e-16,3.842399769103514e-14,8.84160995792814e-14,3.9291916413055314e-16,7.559263464154601e-22,1.1825763794834557e-22,1.1375902145626746e-09,4.624176227242106e-09,6.972654158271723e-17
6.500500068398976e-08,0.34607311168566146,3.76,0.0,0.7112786240012516,0.9999934835322558,1.3741517609826883e-06,9.981142138707834e-17,2.3836826289976186e-12,0.001105113605203392,4.77090012381625e-05,6.876662316956644e-05,2.8920085161725315e-05,4.6363625584494936e-05,3.7031861705861066e-06,1.7678599311202484e-05,2.1662713796736827e-08,2.3538760844304185e-07,1.885910149446773e-10,1.567890108052118e-08,2.6757233304833542e-11,1.9153922304485665e-06,9.70610561021641e-07,1.049274434938479e-10,1.4487111668755034e-09,7.95603194064261e-07,9.699099513900365e-12,4.571681586460846e-11,9.787591748534243e-18,7.505150028291133e-18,7.058431301958361e-11,1.1512768987064094e-14,9.649871288527658e-11,2.2500291440067414e-08,1.072778935160472e-12,3.565889521085929e-17,2.9789619346356756e-13,3.534481148305041e-12,2.9839590278885438e-18,5.829750150314635e-10,1.3364846510864396e-16,4.455264150431177e-14,9.363838601836574e-14,4.648115604789896e-16,8.969347965300136e-22,1.3741061901673434e-22,1.213590835072868e-09,4.977669240182027e-09,7.656299064564733e-17
6.638682725602678e-08,0.3460740699495194,3.76,0.0,0.7112617489345899,0.9999932220821567,1.4796348761459701e-06,1.0834584293955165e-16,2.4632186897268216e-12,0.0011271197624559569,4.9436381393011085e-05,7.165806615067304e-05,3.0277727208469713e-05,4.903751680944729e-05,3.8085156720425483e-06,1.8901116101729658e-05,2.24980872605362e-08,2.409092160602175e-07,2.1027870039345176e-10,1.6419721046929514e-08,3.042562034584554e-11,2.0222147997691287e-06,1.012148867682924e-06,1.1513091096283526e-10,1.589685807934367e-09,8.390284909599022e-07,1.0990974220173314e-11,4.737718082893785e-11,1.1871490838145652e-17,9.175815682810647e-18,7.318078030365945e-11,1.3017341565205963e-14,1.06372851530711e-10,2.3007861889368066e-08,1.2405665206151703e-12,4.0177935253915845e-17,3.223420335811472e-13,3.817560391665287e-12,3.436231952345138e-18,6.388948258860306e-10,1.5794812175143487e-16,5.1509717530626215e-14,9.905219671896614e-14,5.480554541874676e-16,1.0606445311278937e-21,1.591947943607253e-22,1.2930168736199064e-09,5.3504374504003715e-09,8.391660636489246e-17
6.776865382806379e-08,0.3460750341116721,3.76,0.0,0.7112447516917552,0.9999929531202332,1.590939452089794e-06,1.174975550876968e-16,2.5463377339094413e-12,0.0011490664410460177,5.1190909589225584e-05,7.460642397312665e-05,3.1667813956857705e-05,5.180726260002683e-05,3.915522895039909e-06,2.018036224610407e-05,2.334733273013316e-08,2.4641661183108543e-07,2.3396891766780926e-10,1.7181987507513578e-08,3.4511705374857834e-11,2.132657392000012e-06,1.0545384051028627e-06,1.2615262448150774e-10,1.7411371907506302e-09,8.837676028940311e-07,1.2423659051035147e-11,4.906371357241925e-11,1.4344079891497287e-17,1.1173785607240947e-17,7.58197233005937e-11,1.4684786508381877e-14,1.170227835201193e-10,2.3515085461147513e-08,1.4304553007315155e-12,4.5173195174665724e-17,3.4820963873592096e-13,4.116681030700907e-12,3.94606770419818e-18,6.98956586690883e-10,1.8606186354807803e-16,5.938781745185417e-14,1.046605791245818e-13,6.441705273967219e-16,1.2501540704417676e-21,1.8390964746624665e-22,1.3759471676488131e-09,5.743111147625033e-09,9.181529017299281e-17
6.91504804001008e-08,0.3460760042633937,3.76,0.0,0.7112276308000911,0.9999926764955173,1.708260424455852e-06,1.2731321965054392e-16,2.6333406378690814e-12,0.0011709537894944153,5.297256606301226e-05,7.761154272187773e-05,3.309033717436164e-05,5.467435751737702e-05,4.024242368969625e-06,2.1517675722123157e-05,2.421043362442247e-08,2.5190972954003163e-07,2.598024977205247e-10,1.7966080569879098e-08,3.905368996531159e-11,2.246753372947952e-06,1.0977783161926564e-06,1.3804491070442618e-10,1.9036056433679583e-09,9.298242989603878e-07,1.400917652057916e-11,5.0776395531441873e-11,1.7267887465616847e-17,1.3554740258604983e-17,7.85012156638986e-11,1.652920439971708e-14,1.2849188409652566e-10,2.4021985271185857e-08,1.6448278747929994e-12,5.0685008124647764e-17,3.7554922708316724e-13,4.4323928818241135e-12,4.5194341465818605e-18,7.633791555807971e-10,2.184972527771615e-16,6.828778044930767e-14,1.104665789205623e-13,7.548447683941154e-16,1.4689117225872523e-21,2.1188197993396627e-22,1.462460398436343e-09,6.156325986488513e-09,1.0028784486815459e-16
7.053230697213782e-08,0.3460769804958951,3.76,0.0,0.7112103847849967,0.9999923920570583,1.8317944801812907e-06,1.3784384705865494e-16,2.7245454088460943e-12,0.0011927819569576875,5.4781333429805924e-05,8.067326889912271e-05,3.454528760684356e-05,5.7640295106455545e-05,4.13470858141423e-06,2.291439405264857e-05,2.5087375245052136e-08,2.573885171438964e-07,2.8792712851874647e-10,1.877238924114933e-08,4.409243789189796e-11,2.3645346450537715e-06,1.141867780204468e-06,1.5086257612988684e-10,2.0776469658278876e-09,9.77201992367365e-07,1.5760295143217736e-11,5.2515210529868175e-11,2.071393456728829e-17,1.6382439620135623e-17,8.122533972640825e-11,1.85656168990479e-14,1.4082502567429903e-10,2.4528584886615003e-08,1.886268051339945e-12,5.675629974619927e-17,4.044117106939231e-13,4.765252913845442e-12,5.162779900329989e-18,8.323883024872881e-10,2.5581769483341427e-16,7.831924416964717e-14,1.164732403666662e-13,8.819493371931424e-16,1.7207470677897277e-21,2.4346781155331214e-22,1.5526350773819489e-09,6.590722724603291e-09,1.0936398205299309e-16
