Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799)
6.040823555629674e-07,0.8231440660731323,3.76,0.0,0.44548499295453925,0.9945396013314195,0.006456439084029386,1.0211928896649599e-07,5.723468653241541e-06,0.040758118276680216,0.003838274071939385,0.0155338883828176,0.0510745247659414,0.010579889563523062,0.03453807322174379,0.0001918952995309313,0.00038563920049846506,0.0003260522563065323,1.633126884362301e-06,2.818149017896991e-07,0.0020434529976736046,0.0005685035818471207,0.0007106477491639454,1.169790274795767e-05,8.43271917308763e-05,0.00034026850372663854,1.6994714865616945e-08,1.2483200558944363e-05,4.5951976248971624e-07,2.419645874469238e-06,3.598814693945185e-07,3.064942542936735e-07,3.0188755607299375e-05,7.055775205152166e-10,1.2082264449698809e-05,2.2548287889296286e-05,2.9580741178061496e-05,0.00017684013126988688,8.401070491171423e-12
6.098331695740917e-07,0.8233515446868878,3.76,0.0,0.4440067220229011,0.9944018030541845,0.006638101299032557,1.0719560760576581e-07,5.9258582245032066e-06,0.041092195674074766,0.003869200384312889,0.01578427146060663,0.052176068374308215,0.010707452130477272,0.03536026762170165,0.00019900915582306232,0.0004053546149169163,0.00033266687150182954,1.6460845831841156e-06,2.840272521025854e-07,0.0020751257608023596,0.0005767401133498553,0.0007304586874640162,1.2105550060708272e-05,8.791337295620815e-05,0.0003550640491460068,1.713685758693012e-08,1.297234707817059e-05,4.892177817850048e-07,2.462895203905923e-06,3.8731523738318186e-07,3.208136985336666e-07,3.189959196493069e-05,7.385676762481378e-10,1.275717171541192e-05,2.3745830323389933e-05,3.020915766305064e-05,0.00018054574318127317,8.692513694002443e-12
6.15583983585216e-07,0.8235603439238142,3.76,0.0,0.4425190342464097,0.9942621903270051,0.006822364749385766,1.1242411418955691e-07,6.131637133421396e-06,0.041426306350720705,0.003899432922548705,0.016035881484783472,0.05328552052427495,0.010833978429135683,0.036190316612716475,0.00020626495550679717,0.00042579983301484155,0.0003393439687515359,1.6590293907413847e-06,2.861858735468634e-07,0.0021066932188914286,0.0005849522856206194,0.00075064111084029,1.2523022093577837e-05,9.159683206270692e-05,0.000370344471060853,1.7276131114227052e-08,1.3472218840651849e-05,5.203245619688998e-07,2.5067293011886215e-06,4.1642318743563327e-07,3.3558394559128284e-07,3.36853746897117e-05,7.725991069802247e-10,1.3459808582753699e-05,2.4989600469909822e-05,3.084078455019506e-05,0.00018426148479011687,8.989892393772298e-12
6.213347975963403e-07,0.8237704340550537,3.76,0.0,0.44102215636488606,0.9941207696356936,0.007009212302793714,1.1780500056213364e-07,6.340752473108384e-06,0.041760423459429694,0.003928969179343935,0.016288700146942336,0.05440265546858103,0.010959451267971295,0.03702808146481586,0.0002136614669207761,0.00044698944180878114,0.000346083235204338,1.6719603107147786e-06,2.8829060034624245e-07,0.0021381481010400933,0.0005931387391884658,0.0007711967606092513,1.2950416570619689e-05,9.537810981498751e-05,0.00038611973089812396,1.7412525445988664e-08,1.3982750890288087e-05,5.528778040196885e-07,2.5511500803051385e-06,4.472787080034577e-07,3.5080999535678196e-07,3.554825211748009e-05,8.076835571133022e-10,1.4190818432174367e-05,2.6280568106291487e-05,3.14754638884613e-05,0.00018798637505203775,9.293216576193107e-12
6.270856116074646e-07,0.823981785258246,3.76,0.0,0.4395163163331224,0.9939775477112545,0.007198626181186931,1.233383216384858e-07,6.553149771277728e-06,0.04209451831579876,0.003957807228975349,0.01654270900054535,0.05552724694876049,0.011083854768680375,0.03787342265572127,0.00022119735932005382,0.0004689379051475046,0.00035288436091154124,1.6848762703113118e-06,2.903413123749688e-07,0.0021694834120165197,0.0006012981755136367,0.0007921272472439303,1.338782928737254e-05,9.925769085768283e-05,0.00040239980950135566,1.754603302428602e-08,1.4503870025126907e-05,5.869149940992835e-07,2.596159254750018e-06,4.79956794526969e-07,3.6649659674563224e-07,3.749038723838849e-05,8.438322003533464e-10,1.4950840277106226e-05,2.7619694296454653e-05,3.211303795393015e-05,0.00019171945231102262,9.60249458215483e-12
6.328364256185889e-07,0.8241943676418743,3.76,0.0,0.438001743128503,0.9938325315189559,0.007390587990525307,1.2902399779410455e-07,6.768773104572974e-06,0.04242856048501823,0.00398594570950428,0.016797889457020265,0.05665906837737281,0.01120717433351806,0.03872620000476257,0.00022887120639334728,0.0004916595534971142,0.0003597470385558186,1.697776123804718e-06,2.9233793375458544e-07,0.0022006924322689084,0.0006094293562597865,0.0008134340492777815,1.3835354104471926e-05,0.00010323600378386889,0.0004191947021075432,1.767664865729334e-08,1.5035495016333745e-05,6.224733671292215e-07,2.641758336135148e-06,5.145340145892354e-07,3.8264824194706884e-07,3.9513956196543094e-05,8.810556263980928e-10,1.574050810396242e-05,2.9007930579029405e-05,3.275334932948599e-05,0.00019545977435713897,9.917733142824168e-12
6.385872396297132e-07,0.8244081512688504,3.76,0.0,0.4364786665633707,0.9936857282476634,0.007585078750478728,1.3486181750972852e-07,6.987565210187324e-06,0.0427625178695973,0.004013383804641569,0.01705422278244326,0.05779789301450126,0.011329396611428424,0.039586272802675807,0.0002366814898853817,0.0005151685740703885,0.0003666709631497787,1.7106586561294736e-06,2.9428043142220107e-07,0.0022317687173917565,0.0006175311024713021,0.0008351185123644367,1.4293082942976137e-05,0.00010731342129894531,0.0004365144133387527,1.7804369440515866e-08,1.5577536839246e-05,6.595898716911848e-07,2.6879486328794772e-06,5.510884706400802e-07,3.992691611227705e-07,4.1621146768274665e-05,9.193638285981774e-10,1.6560450220056197e-05,3.0446218179507087e-05,3.339624098283856e-05,0.000199206418444997,1.0238937414791143e-11
6.443380536408375e-07,0.8246231061793189,3.76,0.0,0.4349473171023056,0.9935371452994382,0.007782078923929828,1.4085144024789666e-07,7.209467594583824e-06,0.043096356797728184,0.0040401212253425465,0.017311690094802386,0.058943494138417644,0.011450509463134206,0.040453499937195686,0.0002446266033090825,0.0005394790013112267,0.0003736558317074083,1.723522586516069e-06,2.961688136758863e-07,0.002262706097070394,0.0006256022936625579,0.0008571818484922216,1.476110578125403e-05,0.00011149026047627036,0.00045436895221679437,1.792919467702406e-08,1.6129898915381348e-05,6.983011362987686e-07,2.7347312489795027e-06,5.896997603899994e-07,4.163633175765827e-07,4.381415682173954e-05,9.587661926628902e-10,1.741128861064648e-05,3.1935487247498315e-05,3.404155634292063e-05,0.00020295848127678925,1.0566111015198663e-11
6.500888676519618e-07,0.824839202412681,3.76,0.0,0.43340792568446196,0.9933867902794107,0.00798156844624646,1.4699239953840272e-07,7.434420639155746e-06,0.0434300421120209,0.004066158191199069,0.01757027236183574,0.06009564521033363,0.011570501925345962,0.04132774001437123,0.0002527048557326578,0.0005646047077435645,0.0003807013428914345,1.7363665721555664e-06,2.9800312870258187e-07,0.0022934986735278296,0.0006336418668259393,0.0008796251353519672,1.5239510653285844e-05,0.00011576678310066046,0.0004727683272089875,1.8051125796975746e-08,1.6692477364269674e-05,7.38643437078105e-07,2.782107082862206e-06,6.304489349790699e-07,4.339344034058246e-07,4.609519276055748e-05,9.992714865338202e-10,1.8293638306271482e-05,3.347665612016328e-05,3.468913937469419e-05,0.00020671507895353758,1.0899256056796384e-11
6.558396816630861e-07,0.8250564100288221,3.76,0.0,0.4318607235510903,0.9932346709859353,0.008183526754274402,1.5328410625014272e-07,7.662363702695084e-06,0.043763537258352754,0.004091495411692373,0.017829950399436183,0.061254120033180405,0.011689364174244774,0.04220885147554996,0.00026091447562699005,0.0005905593951926705,0.0003878071966396269,1.749189211881944e-06,2.997834630936546e-07,0.0023241408194987724,0.0006416488153654386,0.0009024493158563135,1.572838364823231e-05,0.00012014319609570453,0.0004917225413127346,1.8170166276698205e-08,1.7265161263983214e-05,7.806526668862768e-07,2.8300768263221967e-06,6.734184550304502e-07,4.5198583561667036e-07,4.846646795420587e-05,1.0408878512895308e-09,1.920810676148784e-05,3.5070630612762104e-05,3.533883465238721e-05,0.0002104753468979667,1.1238373182866415e-11
6.615904956742104e-07,0.8252746991285468,3.76,0.0,0.43030594207834577,0.9930807954010257,0.008387932815003607,1.5972585202736878e-07,7.893235220563561e-06,0.044096804374589196,0.004116134067367245,0.018090704870613344,0.062418692904378396,0.01180708748838643,0.043096692709991315,0.0002692536147591682,0.0006173565863852961,0.00039497309377301796,1.7619890498612123e-06,3.0150994035297774e-07,0.002354627175756249,0.000649622187962561,0.0009256551978083822,1.622780891113259e-05,0.0001246196520307096,0.0005112415871862924,1.828632155758157e-08,1.784783291925059e-05,8.243643058882024e-07,2.878640963544861e-06,7.186921447020073e-07,4.705207527073382e-07,5.0930201157861556e-05,1.0836227930614096e-09,2.0155293246079186e-05,3.671830333715664e-05,3.599048743117395e-05,0.00021423843975220923,1.1583461601973923e-11
6.673413096853347e-07,0.8254940398732147,3.76,0.0,0.4287438126154707,0.9929251716810771,0.008594765153864262,1.6631681286899717e-07,8.126972800485058e-06,0.04442980437894554,0.004140075790984608,0.0183525162850019,0.06358913876257803,0.011923664211168429,0.04399112216308518,0.0002777203521184673,0.0006450096169337698,0.0004021987355889623,1.7747645792768124e-06,3.031827194021517e-07,0.002384952648216721,0.000657561087381175,0.0009492434537173928,1.6737868644596766e-05,0.0001291962497029893,0.0005313354423327761,1.839959896501915e-08,1.8440368136056686e-05,8.698133936049396e-07,2.927799770217366e-06,7.663551438529264e-07,4.895420117319479e-07,5.348861492435332e-05,1.1274831761119685e-09,2.1135788249743584e-05,3.8420553048979864e-05,3.664394371730293e-05,0.000218003531253329,1.1934519122500993e-11
6.730921236964589e-07,0.8257144025035819,3.76,0.0,0.42717456632841455,0.9927678081478777,0.008804001882611802,1.7305605283034257e-07,8.363513314901084e-06,0.044762497057772646,0.004163322648706124,0.018615364998903785,0.06476523332837009,0.012039087712994294,0.04489199844016602,0.0002863126978616106,0.000673531627707782,0.00040948382344189023,1.787514246001354e-06,3.048019930872029e-07,0.0024151124046499074,0.0006654646692178253,0.0009732146207585141,1.7258643111364777e-05,0.00013387303479112485,0.0005520140643440738,1.8510007627620875e-08,1.904263650165171e-05,9.170345024391071e-07,2.977553312729433e-06,8.164938584449184e-07,5.090521858299577e-07,5.614393401087469e-05,1.1724752169800594e-09,2.2150172901218485e-05,4.017824402407615e-05,3.7299050336668986e-05,0.00022176981408943293,1.2291542186927041e-11
