Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19)
1.0313076200574425e-09,0.8756566429497735,3.76,0.0,0.6347285437491218,0.9999997837178548,1.2011784489962068e-14,1.6193513615901742e-22,7.757540592601514e-15,4.992234456484928e-07,2.1627532477108176e-07,7.302899842951472e-13,6.079409265532305e-12,2.815227097188735e-07,7.161194576353748e-10,6.088813480463424e-12
1.2854967549989169e-09,0.8756566542421053,3.76,0.0,0.6347284204830159,0.9999997304140283,2.3257440976165565e-14,3.474912250874481e-22,1.2055653569384729e-14,6.224857799463401e-07,2.69575382590431e-07,1.1241028359051518e-12,9.444151882407561e-12,3.5069663389704e-07,1.1121788933111304e-09,9.462362359704613e-12
1.5396858899403913e-09,0.8756566655347993,3.76,0.0,0.6347282971303186,0.9999996771117156,3.99555073260561e-14,6.548022032236533e-22,1.7298728782725276e-14,7.458338830177477e-07,3.2287310495035235e-07,1.5976924983810485e-12,1.3546317925179095e-11,4.197862508151217e-07,1.5948529120968409e-09,1.3577606086271628e-11
1.7938750248818657e-09,0.8756566768278549,3.76,0.0,0.6347281736911349,0.999999623810919,6.318266077108793e-14,1.1261988386238564e-21,2.3487423058812594e-14,8.69267652027274e-07,3.761684902510131e-07,2.1488077610948963e-12,1.8385579412791778e-11,4.887916672560114e-07,2.164035983924314e-09,1.8435061149386303e-11
2.0480641598233403e-09,0.8756566881212736,3.76,0.0,0.634728050165569,0.9999995705116422,9.401515469038687e-14,1.8103094805479054e-21,3.0622392452385114e-14,9.927869842033324e-07,4.294615368949324e-07,2.7752640003573407e-12,2.396160772316759e-11,5.57712989870704e-07,2.8196227088335977e-09,2.4035243409329443e-11
2.3022532947648146e-09,0.8756566994150558,3.76,0.0,0.634727926553725,0.9999995172138885,1.3352875905412208e-13,2.7620168411316857e-21,3.870429221403446e-14,1.11639177684548e-06,4.82752243287056e-07,3.474940994614083e-12,3.027407361783506e-11,6.265503251731021e-07,3.561507822107067e-09,3.037866807267879e-11
2.8106315646477634e-09,0.8756567220037126,3.76,0.0,0.6347276790716203,0.9999994106229616,2.4290002899296623e-13,5.7170247888516134e-21,5.771150002918503e-14,1.3638573330801826e-06,5.893266289471741e-07,5.08576447064902e-12,4.510699835865331e-11,7.639734592472443e-07,5.3037527955125465e-09,4.529730234195989e-11
3.319009834530712e-09,0.8756567445938293,3.76,0.0,0.6347274312456525,0.9999993040381616,3.9989284571541673e-13,1.0553565397481911e-20,8.051427251475859e-14,1.6116635006162655e-06,6.958916345190783e-07,6.9655199918908374e-12,6.288170770994022e-11,9.010619188668116e-07,7.3899314725530695e-09,6.319507264003608e-11
3.827388104413661e-09,0.8756567671854102,3.76,0.0,0.634727183076651,0.9999991974595108,6.130957610997384e-13,1.793247793488534e-20,1.0711782291156105e-13,1.8598094605780978e-06,8.024472473288861e-07,9.099356984925011e-12,8.35955461933656e-11,1.0378165512484191e-06,9.819206564118705e-09,8.407607731750679e-11
4.33576637429661e-09,0.8756567897784596,3.76,0.0,0.6347269345654436,0.9999990908870312,8.910895904942656e-13,2.861173928540658e-20,1.3752735186721976e-13,2.1082943953629713e-06,9.089934547405567e-07,1.1473267195831347e-11,1.0724584896311932e-10,1.1742382014691064e-06,1.2590742891822986e-08,1.0794440455810066e-10
4.8441446441795585e-09,0.8756568123729811,3.76,0.0,0.6347266857128556,0.9999989843207434,1.2424474065713091e-12,4.344606129041227e-20,1.7174804747810727e-13,2.357117488682169e-06,1.0155302441557281e-06,1.4074034563366003e-11,1.3382994190009064e-10,1.3103277124754408e-06,1.570370737901618e-08,1.348041324326576e-10
5.352522914062507e-09,0.8756568349689788,3.76,0.0,0.6347264365197104,0.9999988777606675,1.6757344854109383e-12,6.338692091927786e-20,2.0978508526698267e-13,2.606277925604072e-06,1.1220576030137461e-06,1.6889194008388687e-11,1.6334514166543086e-10,1.446085925081549e-06,1.9157269052728586e-08,1.6465932889919431e-10
6.369279453828405e-09,0.8756568801654163,3.76,0.0,0.6347259371150306,0.999998664659228,2.8223183102049174e-12,1.2287706741317776e-19,2.97328826608955e-13,3.105607577533967e-06,1.3350839790040106e-06,2.3116353415662596e-11,2.31158082644905e-10,1.7166118076984894e-06,2.7082870575273944e-08,2.333723489794643e-10
7.386035993594302e-09,0.8756569253677998,3.76,0.0,0.6347254363579494,0.9999984515828593,4.399205880714686e-12,2.1662262999526172e-19,4.001997287819222e-13,3.6062768602530913e-06,1.5480724829783874e-06,3.0068537405267404e-11,3.106630235687933e-10,1.9858225332784862e-06,3.636094165615744e-08,3.1411580698509044e-10
8.4027925333602e-09,0.8756569705761563,3.76,0.0,0.6347249342549781,0.9999982385316977,6.474635206824473e-12,3.55696902687004e-19,5.184387444119323e-13,4.108279306787054e-06,1.7610230158023252e-06,3.766908304720874e-11,4.018381736217391e-10,2.2537247519192986e-06,4.6984909896106404e-08,4.069218850578013e-10
9.419549073126098e-09,0.8756570157905098,3.76,0.0,0.6347244308125948,0.9999980255058706,9.116716777373796e-12,5.526954838711272e-19,6.520866267778868e-13,4.611608474953496e-06,1.973935478936028e-06,4.5849808161377613e-11,5.046616022050134e-10,2.520325080055891e-06,5.894823610449475e-08,5.118226064595638e-10
9.999999999999999e-09,0.8756570610108836,3.76,0.0,0.6347241428068437,0.9999979039040552,1.0905254548408505e-11,6.964913040837985e-19,7.353090654276025e-13,4.899543914150552e-06,2.095466875155989e-06,5.075662794784633e-11,5.685765233937254e-10,2.671941941080947e-06,6.63759810161862e-08,5.771442966580543e-10
1.0436305612891995e-08,0.8756570610108836,3.76,0.0,0.634723926037245,0.9999978125054981,1.2393432771570429e-11,8.217268126088569e-19,8.011839306124167e-13,5.116257948123032e-06,2.186809774431239e-06,5.4550077470208875e-11,6.191112414834617e-10,2.7856301006336374e-06,7.224441412843194e-08,6.288498365924211e-10
1.1453062152657893e-08,0.8756571062373006,3.76,0.0,0.6347234199353414,0.9999975995306926,1.6372636212523263e-11,1.1784033949344137e-18,9.657710128261642e-13,5.622221335894639e-06,2.3996458049283244e-06,6.371597133064066e-11,7.451648888317953e-10,3.049646363264321e-06,8.686697069882496e-08,7.580352839149916e-10
1.246981869242379e-08,0.8756571514697816,3.76,0.0,0.6347229125132635,0.9999973865815602,2.1122050154239653e-11,1.6398327534886481e-18,1.1458880332876184e-12,6.129492274681324e-06,2.6124434736532596e-06,7.329953866430693e-11,8.828002092715835e-10,3.3123803843877685e-06,1.0280946527088627e-07,8.994105008664372e-10
1.3486575232189688e-08,0.8756571967083472,3.76,0.0,0.6347224037773593,0.999997173658202,2.670926692819983e-11,2.2246079352747378e-18,1.341574955685456e-12,6.638064428205429e-06,2.8252026844144334e-06,8.325813012385122e-11,1.0319947379092864e-09,3.573838647443757e-06,1.200654898545024e-07,1.0530068848206037e-09
1.4503331771955585e-08,0.8756572419530166,3.76,0.0,0.634721893733944,0.9999969607607129,3.320174741330807e-11,2.9527980052740667e-18,1.5528715484138926e-12,7.147931487916143e-06,3.037923341599454e-06,9.355380862914366e-11,1.1927258823352435e-09,3.8340276030444e-06,1.386286688441314e-07,1.2188556790252062e-09
1.5520088311721483e-08,0.875657287203809,3.76,0.0,0.6347213823893002,0.9999967478891839,4.066682030052514e-11,3.845938789432668e-18,1.779817385439935e-12,7.659087173344551e-06,3.2506053501720557e-06,1.041528282942984e-10,1.3649709249640763e-09,4.092953669140554e-06,1.5849265885460324e-07,1.3969879734978236e-09
1.6536844851487382e-08,0.8756573324607411,3.76,0.0,0.6347208697496793,0.9999965350437022,4.91716813581352e-11,4.9270237616581975e-18,2.0224518471631853e-12,8.171525232405008e-06,3.463248615669073e-06,1.150251707596873e-10,1.548707025330919e-09,4.350623231184495e-06,1.7965114856059373e-07,1.5874347058916731e-09
1.755360139125328e-08,0.8756573777238316,3.76,0.0,0.6347203558213008,0.999996322224351,5.878339271442396e-11,6.22049489726875e-18,2.280814121291597e-12,8.685239441646243e-06,3.675853044197409e-06,1.261441313023159e-10,1.7439112223614597e-09,4.607042642293108e-06,2.0209785853559614e-07,1.7902266623526393e-09
1.857035793101918e-08,0.8756574229930967,3.76,0.0,0.6347198406103524,0.9999961094312096,6.956888216169005e-11,7.752233470842831e-18,2.554943203736064e-12,9.200223606455871e-06,3.888418542430986e-06,1.3748595041619206e-10,1.950560436617899e-09,4.862218223412255e-06,2.2582654108973584e-07,2.0053944783716395e-09
1.958711447078508e-08,0.8756574682685527,3.76,0.0,0.6347193241229899,0.9999958966643552,8.159494247465073e-11,9.549550878409164e-18,2.8448778995117965e-12,9.716471561224009e-06,4.100945017607703e-06,1.490294869569917e-10,2.168631472514232e-09,5.116156263480463e-06,2.5083098010824206e-07,2.232968639624601e-09
2.060387101055098e-08,0.8756575135502159,3.76,0.0,0.6347188063653385,0.999995683923862,9.49282307381738e-11,1.1641179528864404e-17,3.1506568236386405e-12,1.0233977169471902e-05,4.313432377526434e-06,1.6075592807276907e-10,2.3981010204984733e-09,5.36886301959087e-06,2.771049908916607e-07,2.472979482795974e-09
2.1620627550316878e-08,0.8756575588381016,3.76,0.0,0.6347182873434921,0.9999954712098017,1.0963526768550316e-10,1.4057263783639756e-17,3.4723184020419416e-12,1.0752734323949771e-05,4.52588053054405e-06,1.7264853117763596e-10,2.638945659205428e-09,5.6203447171518464e-06,3.046424199973436e-07,2.7254571963890267e-09
2.2637384090082777e-08,0.8756576041322244,3.76,0.0,0.6347177670635131,0.9999952585222436,1.257824370498349e-10,1.6829350913590612e-17,3.80990087245747e-12,1.1272736946706956e-05,4.7382893855724375e-06,1.8469239422697656e-10,2.891141857583873e-09,5.870607550047107e-06,3.3343714508147146e-07,2.9904318215272734e-09
