Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207)
9.999999999999999e-09,0.5124377605813746,3.76,0.0,0.7145744978871779,0.9999999999526206,2.9856190150067206e-18,3.6692033876624555e-36,4.19285892297656e-26,4.7418399138109845e-11,4.737116862089459e-11,7.82597975227497e-15,3.8287598615405445e-16,5.499206779006728e-14,1.1223915038933072e-16,3.271050519083561e-16,7.115667760683239e-17,1.2114830600765081e-17,2.159303000990167e-24,1.1680343681564869e-26,1.604509121286367e-22,2.7192411599456346e-24,2.016174072833564e-22,5.874227127367955e-17,5.844762828924261e-40,3.5129471666318516e-37,1.6724470887932801e-40,1.109655098051664e-56,1.5019371006519144e-20,1.2387363314685937e-20,6.341513891033966e-30
1.0485759000000001e-08,0.5124377605813746,3.76,0.0,0.714574497884874,0.9999999999503186,3.3882022305502313e-18,4.109648570839258e-36,4.5539973636082694e-26,4.972142341583736e-11,4.967226833381546e-11,8.565851880112891e-15,4.1913358837830927e-16,5.765030998022835e-14,1.2288418927550353e-16,3.581969932632649e-16,7.789458177086546e-17,1.3247594873039815e-17,2.4608673459300793e-24,1.334261175395687e-26,1.8315671579191114e-22,3.084434782482856e-24,2.2613067540868746e-22,6.432283765197942e-17,6.695049416964075e-40,4.12469479386466e-37,2.01236906365265e-40,1.3610318872384247e-56,1.5307388309571557e-20,1.3320543740658972e-20,7.112364668210905e-30
1.4680063000000002e-08,0.512437760581376,3.76,0.0,0.7145744978649818,0.9999999999304414,8.924152423748711e-18,9.230276072947461e-36,8.082970792554529e-26,6.960549685690171e-11,6.954120850928357e-11,1.6398990569583373e-14,8.036292506661872e-16,8.055002902757286e-14,2.359531849668117e-16,6.891308326899994e-16,1.4934540874907426e-16,2.51126801599811e-17,6.65776084295573e-24,3.8408140913116986e-26,5.010755484129189e-22,8.072623036872392e-24,5.192414656846311e-22,1.2369028628366086e-16,1.9683700037083422e-39,1.4701130033069985e-36,1.042498157742632e-39,8.398132445495571e-56,1.7234877520637033e-20,2.1699449470568307e-20,1.632605287186477e-29
2.3068671000000004e-08,0.5124377605813781,3.76,0.0,0.7145744978251971,0.999999999890679,3.431754560193244e-17,2.5757687133683866e-35,1.6890690862904048e-25,1.0936592260849019e-10,1.0927914051555933e-10,3.963087646007102e-14,1.9483720324061667e-15,1.2607010129868625e-13,5.738825233385928e-16,1.6829323176455475e-15,3.6206266978508187e-16,5.944321898577956e-17,2.6169878918893152e-23,1.786667005550974e-25,1.989487745649228e-21,3.0602381347619065e-23,1.5425879032854093e-21,3.0176549239073413e-16,9.347245877394069e-39,8.065301744778965e-36,9.911060036864275e-39,9.92594343838055e-55,1.896706163401228e-20,3.9476801999027515e-20,4.8459138198859925e-29
3.145727900000001e-08,0.5124377605813794,3.76,0.0,0.7145744977854122,0.9999999998509058,8.479090995015802e-17,4.95304152327344e-35,2.73690405136541e-25,1.4911622801420922e-10,1.490171404491662e-10,7.278143102313197e-14,3.5887223356372395e-15,1.7122042353588087e-13,1.06016529099303e-15,3.120406489533265e-15,6.668585613072712e-16,1.0712964460674117e-16,6.52256036776978e-23,5.061352161462495e-25,4.979943846887275e-21,7.475763273981706e-23,3.157565183394004e-21,5.590284713984503e-16,2.669910018232292e-38,2.3915139891920056e-35,3.8270328966714965e-38,4.453904504569243e-54,1.931948118650188e-20,5.743726485086178e-20,9.910129767477984e-29
3.984588700000001e-08,0.5124377605813796,3.76,0.0,0.714574497745627,0.9999999998111222,1.6853237470007027e-16,7.878548055459208e-35,3.8846488783151226e-25,1.8885666566406082e-10,1.887552069091634e-10,1.1560615603597916e-13,5.716569253797268e-15,2.1600524201546366e-13,1.693624763627793e-15,5.002387171624029e-15,1.0622153933195657e-15,1.671306657551488e-16,1.303361389392608e-22,1.131960891703303e-24,9.97773459108615e-21,1.4702989781377735e-22,5.357164838010013e-21,8.95460399244321e-16,5.999185484344522e-38,5.371859989180281e-35,1.0475448350440407e-37,1.4248102387482015e-53,1.9318300964488906e-20,7.477178926155295e-20,1.6796433459426813e-28
4.8234495000000016e-08,0.512437760581379,3.76,0.0,0.7145744977058416,0.9999999997713286,2.938820385426776e-16,1.118215554742989e-34,5.088702424840542e-25,2.28587489196047e-10,2.2849333847279096e-10,1.6785961410492406e-13,8.323729731704763e-15,2.604287762522216e-13,2.4730803374559653e-15,7.329730989412876e-15,1.5465995055080122e-15,2.3845004826176965e-16,2.282054798941314e-22,2.1973455523279054e-24,1.75051178230712e-20,2.5376918639125415e-22,8.12178823012201e-21,1.3110543503033382e-15,1.1681633468462772e-37,1.0243793143388288e-34,2.3563162664521044e-37,3.780788502599555e-53,1.9308496863725262e-20,9.123895986563603e-20,2.5434918777889134e-28
6.501171100000001e-08,0.5124377605813751,3.76,0.0,0.7145744976262698,0.9999999996917119,6.996062337605224e-16,1.8487306121797062e-34,7.590150630850175e-25,3.080211989226794e-10,3.0796979173425205e-10,2.997773180203451e-13,1.4946465924897e-14,3.482069508474273e-13,4.465706614799466e-15,1.332339172156659e-14,2.7769019491978743e-15,4.117645567229383e-16,5.468978312507862e-22,6.3261079432463086e-24,4.208352345291941e-20,5.922314580770882e-22,1.525892473478583e-20,2.3797213164402716e-15,3.3764712508618596e-37,2.75878877456418e-34,8.295727406598348e-37,1.9043685293798054e-52,1.931929761396793e-20,1.2168425946710321e-19,4.76569967307192e-28
8.178892700000002e-08,0.512437760581368,3.76,0.0,0.7145744975466968,0.9999999996120575,1.3665624502780691e-15,2.6117514315615616e-34,1.0114235430866917e-24,3.874192824083348e-10,3.874464891166178e-10,4.666726149419805e-13,2.3393756855593105e-14,4.345867529906192e-13,7.028867790912962e-15,2.110726718735849e-14,4.34588169004929e-15,6.203495593081154e-16,1.0744906147897589e-21,1.452346335557324e-23,8.289854646382587e-20,1.1349967268206507e-21,2.439078576140551e-20,3.765013648039282e-15,7.770767564807217e-37,5.875246766592489e-34,2.167582768617223e-36,6.525488614367881e-52,1.9540147230544843e-20,1.4895083321919445e-19,7.592934489407858e-28
9.856614300000003e-08,0.5124377605813577,3.76,0.0,0.7145744974671223,0.9999999995323676,2.3606895161055304e-15,3.3730691324317623e-34,1.2624232009400016e-24,4.667836736163235e-10,4.669234191508905e-10,6.66676009392903e-13,3.360110601237086e-14,5.196000948873203e-13,1.0153105204621255e-14,3.0686586362087896e-14,6.241364537475785e-15,8.581537911219853e-16,1.8664430666638828e-21,2.897030540247269e-23,1.4434968410432027e-19,1.9241568335149725e-21,3.534762566265352e-20,5.466919589893911e-15,1.5527746156347054e-36,1.0856875778432199e-33,4.749535896766715e-36,1.8181397903797337e-51,1.9783493385751026e-20,1.7351578126394436e-19,1.0961000166271224e-27
