Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39)
9.699242003200005e-09,0.5617327948212856,2.507027060321164e-10,2.629483652361209e-12,4.126186169666619e-12,7.721401605382908e-11,0.0,0.0,7.10858623522347e-11,4.953034906058162e-16,4.657349278404396e-12,1.1925616780556222e-10,1.689275244813645e-19,1.287464015090357e-28,1.6635690278072295e-18,3.13761842994901e-10,3.0237870145700305e-13,2.355917138133463e-12,1.6323769185237657e-25,5.5685852276446495e-36,1.2220452290902065e-21,6.242860659369441e-21,6.461815223742325e-10,3.674421142344863e-24,1.708888923506042e-19,3.9403992242065142e-25,5.037519481163025e-32,4.611839544359235e-23,1.742266503706959e-27,1.063825992938502e-27,6.036084846867862e-23,7.302164215821595e-31,2.6893103379304644e-34,1.9701118077854957e-33,3.76,0.0,0.5015556540859506,0.9999999997870078,8.341496035039149e-13,8.348017049703688e-17,7.230162880661761e-11,1.1018639358498154e-09,4.452513804128973e-16,3.259908691247427e-16,1.5347900816232664e-11,7.341902833510423e-11
9.999999999999999e-09,0.5617327948326899,2.708973245631275e-10,2.8470999959319034e-12,4.460062398713821e-12,7.983221209309153e-11,0.0,0.0,7.331143972046784e-11,5.265659288141228e-16,5.0236859138327645e-12,1.291748040055297e-10,1.8746665450219664e-19,1.5095619014894655e-28,1.7544657178159865e-18,3.2644176297623404e-10,3.261702378287434e-13,2.541228373575496e-12,1.8534912278219307e-25,7.010511256443835e-36,1.375995461534981e-21,7.010926249811337e-21,6.565055015688054e-10,4.184906473136424e-24,1.9031894771344315e-19,4.584663032888536e-25,5.922164785320118e-32,5.327620984298895e-23,2.0983701841102774e-27,1.2402021618445362e-27,6.913249185982404e-23,8.748588080557192e-31,3.256481449862928e-34,2.4374658708073985e-33,3.76,0.0,0.5015556540471483,0.9999999997736089,9.024111845922462e-13,9.313063674702289e-17,7.466031036332916e-11,1.1360309985710006e-09,4.856681046259105e-16,3.438287885076631e-16,1.6016920718458344e-11,7.569563508990651e-11
1.0387212716800006e-08,0.5617327948326899,2.9810295120800355e-10,3.141811229848663e-12,4.910951666735904e-12,8.323044727751137e-11,0.0,0.0,7.61799657300553e-11,5.682346767475275e-16,5.516623653256474e-12,1.425642513642032e-10,2.1333566484668637e-19,1.838793243115797e-28,1.874878040387261e-18,3.4265677799647835e-10,3.5818506428276495e-13,2.790580739809511e-12,2.1688460772510606e-25,9.320157361859771e-36,1.5928741948552103e-21,8.08840670409447e-21,6.692580761127257e-10,4.916411056150718e-24,2.1748038285688643e-19,5.528528497792315e-25,7.23913121082123e-32,6.369102366758258e-23,2.6418679140629476e-27,1.4993434103766066e-27,8.18105978373146e-23,1.0940198998062775e-30,4.129050174751398e-34,3.174103388051775e-33,3.76,0.0,0.5015556539971743,0.9999999997557034,9.94739853963216e-13,1.0665655431545212e-16,7.77146092235945e-11,1.1800195953913555e-09,5.405717526260361e-16,3.6701572163282037e-16,1.6874083891298607e-11,7.86266663373352e-11
1.1075183430400006e-08,0.5617327948443285,3.497542453898069e-10,3.706126589411638e-12,5.770512144252119e-12,8.934648887456334e-11,0.0,0.0,8.128588825250945e-11,6.462168101455266e-16,6.450972406625302e-12,1.680607165392697e-10,2.6515865271138896e-19,2.561112528603015e-28,2.0985523946494737e-18,3.710984636227256e-10,4.1887198067277994e-13,3.2632207424278525e-12,2.82095640110018e-25,1.5006501355808974e-35,2.0327475081282912e-21,1.0259084721046971e-20,6.905001876437238e-10,6.440549705940293e-24,2.7201229471083403e-19,7.559863572087821e-25,1.0148592449569414e-31,8.588366628875549e-23,3.886823788841319e-27,2.059624461608013e-27,1.0858545787488233e-22,1.5902581670666997e-30,6.1541874810806764e-34,4.947240767535612e-33,3.76,0.0,0.5015556539083327,0.9999999997220895,1.1711934054139726e-12,1.3392568957279349e-16,8.319280990918991e-11,1.2581752682974897e-09,6.460543894910601e-16,4.087036203295635e-16,1.838164401774938e-11,8.383430433865137e-11
1.1763154144000007e-08,0.5617327948561982,4.055796380997354e-10,4.322938831076523e-12,6.7047700823775414e-12,9.556613513580827e-11,0.0,0.0,8.640452518413147e-11,7.292619844232447e-16,7.459064027617115e-12,1.957135847232821e-10,3.249767573410547e-19,3.490045838032937e-28,2.335295093196074e-18,3.9897975164449836e-10,4.84353839745973e-13,3.7731636119907214e-12,3.6013957907630756e-25,2.3354757058109516e-35,2.546495380239053e-21,1.2772351139422915e-20,7.100555794528564e-10,8.28245107869225e-24,3.3507321904760065e-19,1.0107254824430021e-24,1.3923857448201007e-31,1.1340333866105795e-22,5.568961728027643e-27,2.766371982806207e-27,1.4149101443507582e-22,2.251069745786669e-30,8.937546546236232e-34,7.489461391084646e-33,3.76,0.0,0.5015556538194209,0.9999999996862047,1.3636115618219736e-12,1.6562757951997332e-16,8.874130852407637e-11,1.3363309557065652e-09,7.615952975317311e-16,4.508366166464383e-16,1.986407732071855e-11,8.904194233905209e-11
1.2451124857600007e-08,0.5617327948682942,4.6548657993318286e-10,4.992602565258483e-12,7.713391934166286e-12,1.0189313672689831e-10,0.0,0.0,9.153674904206207e-11,8.173831688884752e-16,8.539313078700254e-12,2.2548239021540246e-10,3.93359762996166e-19,4.665601438290925e-28,2.5859011382507954e-18,4.262132741051457e-10,5.545285377828746e-13,4.3196073658204146e-12,4.522755524574729e-25,3.527166946520531e-35,3.1384332226511603e-21,1.5642397602333473e-20,7.28059931491215e-10,1.0478646412291054e-23,4.072273305938231e-19,1.3246813147438533e-24,1.8745289474618756e-31,1.4698330303809536e-22,7.794409015227045e-27,3.642606363717703e-27,1.8137828533456376e-22,3.1126096111345255e-30,1.2686245461574062e-33,1.1049076654989943e-32,3.76,0.0,0.5015556537304338,0.9999999996480947,1.5720529414986404e-12,2.0209560944934868e-16,9.436506970362542e-11,1.414486658733949e-09,8.870315935573408e-16,4.932248962828233e-16,2.131602816324351e-11,9.424958033853677e-11
1.3139095571200008e-08,0.5617327948806113,5.293698747054323e-10,5.715338440572242e-12,8.795845146904377e-12,1.0833101290814484e-10,0.0,0.0,9.668340734242848e-11,9.105941847485564e-16,9.689928671506879e-12,2.573197247374604e-10,4.708655444437489e-19,6.132450005213648e-28,2.851237389205262e-18,4.527289725053754e-10,6.292806209794346e-13,4.90164609395997e-12,5.597445335990709e-25,5.186475671689749e-35,3.812344482607425e-21,1.8880146105501615e-20,7.446378748195956e-10,1.3066425402405398e-23,4.890125819989839e-19,1.7057194847372162e-24,2.4817522589184107e-31,1.873764849309417e-22,1.0684155372725476e-26,4.7125018464807855e-27,2.291400137911156e-22,4.214971189326497e-30,1.76456778538123e-33,1.5929474502347765e-32,3.76,0.0,0.5015556536413665,0.9999999996078122,1.7965405173240146e-12,2.436555021814419e-16,1.0006893114428517e-10,1.4926423784682284e-09,1.0221512864769393e-15,5.357040378785265e-16,2.2733145651402094e-11,9.945721833710466e-11
1.3827066284800009e-08,0.5617327948931439,5.971142538201379e-10,6.491251331581068e-12,9.951430697955076e-12,1.1488306330873671e-10,0.0,0.0,1.0184532085213699e-10,1.0089096793818471e-15,1.090895672064717e-11,2.9117258648030575e-10,5.580389167712493e-19,7.940216249855437e-28,3.132223583275953e-18,4.784719014719143e-10,7.084840250110489e-13,5.518291333194196e-12,6.8376220839755105e-25,7.44621528965744e-35,4.571476418360727e-21,2.2493314330964428e-20,7.59903900367437e-10,1.608369886648751e-23,5.809393767407413e-19,2.161890312423571e-24,3.237141363663548e-31,2.353491372431712e-22,1.4374480404065995e-26,6.001222363546757e-27,2.857068866234249e-22,5.602051644698109e-30,2.4103714955903847e-33,2.2495985121455566e-32,3.76,0.0,0.5015556535522144,0.9999999995654145,2.037067785383154e-12,2.90624482999561e-16,1.0585759263254981e-10,1.570798115968165e-09,1.1667019332841347e-15,5.78132430946481e-16,2.4111955784698664e-11,1.0466485633475506e-10
1.451503699840001e-08,0.5617327949058856,6.68596623507716e-10,7.320346505504011e-12,1.1179311769966262e-11,1.2155237926858145e-10,0.0,0.0,1.0702328226316131e-10,1.1123450991731548e-15,1.219431685866591e-11,3.269835583779191e-10,6.5541071075899995e-19,1.014377862145572e-27,3.4298147105572704e-18,5.034002699417564e-10,7.920044686260246e-13,6.1684907404204465e-12,8.255130878038791e-25,1.0463075964393316e-34,5.418546599539937e-21,2.6486537209487816e-20,7.739631928636295e-10,1.9568881301593564e-23,6.834896404918846e-19,2.7013619887536942e-24,4.166606763346399e-31,2.9167485586860013e-22,1.9017249691520386e-26,7.534760561191578e-27,3.5204372538595287e-22,7.321366880929541e-30,3.239514502696893e-33,3.118285763383975e-32,3.76,0.0,0.5015556534629731,0.9999999995209626,2.2936041842313593e-12,3.433106207844981e-16,1.1173560754725874e-10,1.6489538722602866e-09,1.3203982229391063e-15,6.20388968684287e-16,2.5449750077969626e-11,1.0987249433148716e-10
1.520300771200001e-08,0.56173279491883,7.436880216484139e-10,8.202543972491818e-12,1.2478538967059128e-11,1.2834185475291987e-10,0.0,0.0,1.1221805523743984e-10,1.2209166612366426e-15,1.3543834581010182e-11,3.646918356051053e-10,7.634970443305126e-19,1.2803570799062635e-27,3.744984843509308e-18,5.274836960510216e-10,8.79701538125475e-13,6.851144353130145e-12,9.861457534621104e-25,1.441924286392904e-34,6.3557580628003156e-21,3.086153218527972e-20,7.869123964154125e-10,2.3560791688436185e-23,7.971162394041154e-19,3.332357611764145e-24,5.299091670472309e-31,3.57129004999582e-22,2.478008701230094e-26,9.339782365307876e-27,4.291456809180671e-22,9.423823511801624e-30,4.290636811968203e-33,4.2500302418744344e-32,3.76,0.0,0.5015556533736379,0.9999999994745217,2.5660998435001554e-12,4.020123239288699e-16,1.1770737652955745e-10,1.7271096483370373e-09,1.4829286586595844e-15,6.623709145403015e-16,2.6744487100126428e-11,1.1508013232730019e-10
1.589097842560001e-08,0.5617327949319697,8.222553150554618e-10,9.137691186855045e-12,1.3848072402608829e-11,1.3525419683653328e-10,0.0,0.0,1.1743037377826886e-10,1.3346413243284659e-15,1.4955269091830705e-11,4.042341193262135e-10,8.827987662549447e-19,1.5985877227921878e-27,4.078712503066648e-18,5.50701656287581e-10,9.714304932329422e-13,7.56511867516562e-12,1.166769115475549e-24,1.952379369774783e-34,7.384821235601834e-21,3.5617296838992334e-20,7.98840316829145e-10,2.8098570696422005e-23,9.222427010616501e-19,4.063096803259467e-24,6.666782585793441e-31,4.324836018823994e-22,3.1846430484029e-26,1.1443479214499839e-26,5.180344600677441e-22,1.1963455129617658e-29,5.6080355930235456e-33,5.704154681715603e-32,3.76,0.0,0.5015556532842046,0.9999999994261571,2.854489726808406e-12,4.6701797283219e-16,1.237771430599053e-10,1.8052654451554212e-09,1.6539614756721486e-15,7.039918642594429e-16,2.799470350975988e-11,1.2028777032219326e-10
1.6578949139200008e-08,0.5617327949452982,9.04162662768569e-10,1.0125574252440707e-11,1.528680096194252e-11,1.4229193575219945e-10,0.0,0.0,1.226609418856832e-10,1.4535367592516737e-15,1.6426337283325913e-11,4.4554538951317626e-10,1.0138010498155844e-18,1.9763115035555997e-27,4.4319676080649496e-18,5.730421112188171e-10,1.0670438223875183e-12,8.309258806637178e-12,1.3684495764859191e-24,2.6013858119364833e-34,8.506980882844051e-21,4.0750328496411366e-20,8.098285651759204e-10,3.322161272186997e-23,1.0592631963449723e-18,4.901742427671105e-24,8.305319761074378e-31,5.18502695229681e-22,4.0415481990319885e-26,1.387342962059405e-26,6.197546140230028e-22,1.4997130530280105e-29,7.242188147572344e-33,7.548985277440175e-32,3.76,0.0,0.5015556531946693,0.9999999993759373,3.158697228564731e-12,5.386056719357313e-16,1.2994899070007064e-10,1.8834212636360795e-09,1.8331498427468766e-15,7.45179831887047e-16,2.919943427521953e-11,1.2549540831616546e-10
1.7266919852800006e-08,0.5617327949588079,9.892727712280972e-10,1.1165927794091126e-11,1.6793559058623625e-11,1.4945743450479521e-10,0.0,0.0,1.279104334523018e-10,1.57762131904136e-15,1.795473430083395e-11,4.885595694073266e-10,1.1569731137026075e-18,2.4214094847817352e-27,4.805700014906147e-18,5.945002890698449e-10,1.1663925767585667e-12,9.082398846747448e-12,1.5922089974441806e-24,3.4155528902285933e-34,9.723046589713996e-21,4.625485708474925e-20,8.199521475469546e-10,3.896951119350244e-23,1.2085427399945768e-18,5.856352752469759e-24,1.0254004707098088e-30,6.159382566278412e-22,5.070205976742329e-26,1.665747126921915e-26,7.353699151379005e-22,1.8584241143059785e-29,9.250301937953682e-33,9.862545063121158e-32,3.76,0.0,0.501555653105028,0.9999999993239302,3.478637287108192e-12,6.170431039109442e-16,1.3622684175431475e-10,1.961577104662735e-09,2.0201363720489948e-15,7.858755229024753e-16,3.0358142574076896e-11,1.3070304630921594e-10
1.7954890566400005e-08,0.5617327949724917,1.0774479668306572e-09,1.2258443647283674e-11,1.8367141181957266e-11,1.567528980582554e-10,0.0,0.0,1.331794923610783e-10,1.7069140091642208e-15,1.9538151114075955e-11,5.332100947742725e-10,1.3127680501330734e-18,2.9424253727977612e-27,5.200829610656782e-18,6.150776094755501e-10,1.2693275102206252e-12,9.883370782183156e-12,1.8390233639812506e-24,4.424452270825465e-34,1.1033425535039031e-20,5.21230840998542e-20,8.292800058647149e-10,4.5382015607684285e-23,1.3704175722712332e-18,6.934839162648753e-24,1.2556002069465796e-30,7.2552658592670085e-22,6.293636469164108e-26,1.982358431656759e-26,8.659598426550534e-22,2.2786374411770308e-29,1.1696891524300504e-32,1.2733235167124604e-31,3.76,0.0,0.501555653015277,0.9999999992702047,3.814219072435202e-12,7.025874703128716e-16,1.426144571273648e-10,2.039732969081948e-09,2.2145569941666233e-15,8.260308090556505e-16,3.147065837294873e-11,1.359106843013437e-10
1.8642861280000004e-08,0.5617327949863424,1.1685511086385143e-09,1.3402778497231998e-11,2.000631449154805e-11,1.6418038210535473e-10,0.0,0.0,1.3846873275315007e-10,1.841434457911645e-15,2.1174289454661508e-11,5.79430400150147e-10,1.4816227442575557e-18,3.548585413114027e-27,5.618237894305426e-18,6.347807320926714e-10,1.3757000486212362e-12,1.0711012043235544e-11,2.1098220550110756e-24,5.660659415814884e-34,1.2438156539445906e-20,5.834542203092594e-20,8.378755140901525e-10,5.2498998757629694e-23,1.5451956905678502e-18,8.144929383041761e-24,1.5258533328363186e-30,8.479852187745761e-22,7.736367077063189e-26,2.339978613096922e-26,1.0126161915199382e-21,2.7666979205107273e-29,1.4654381909616553e-32,1.6260500786795291e-31,3.76,0.0,0.5015556529254125,0.9999999992148292,4.165348298530714e-12,7.95485505564393e-16,1.4911543719259075e-10,2.117888857703145e-09,2.4160442839048446e-15,8.656073696280679e-16,3.253712389709113e-11,1.4111832229254778e-10
1.9330831993600003e-08,0.5617327950003528,1.2624463597295376e-09,1.4598560577515495e-11,2.170982967290962e-11,1.7174180143046233e-10,0.0,0.0,1.4377873943930823e-10,1.9812028871299037e-15,2.2860874420455827e-11,6.271543317417397e-10,1.6639578722557273e-18,4.2498143650537556e-27,6.058760964431595e-18,6.536207172354956e-10,1.4853631078188601e-12,1.1564171879707241e-11,2.405487623629256e-24,7.159771138596627e-34,1.3936944542401182e-20,6.491072966774439e-20,8.457969335024831e-10,6.036043274186958e-23,1.7331575053170526e-18,9.49413605406754e-24,1.8413059975261104e-30,9.840103162659952e-22,9.424395020983612e-26,2.741403744726429e-26,1.1764398148396167e-21,3.32910287852439e-29,1.8203737386988562e-32,2.0555479102596173e-31,3.76,0.0,0.5015556528354311,0.9999999991578713,4.531929202095695e-12,8.959735534019581e-16,1.55733223516508e-10,2.1960447712988627e-09,2.6242303146626712e-15,9.045754614068794e-16,3.3557945015032426e-11,1.4632596028282713e-10
2.0018802707200002e-08,0.5617327950145158,1.35899983285286e-09,1.5845395525929786e-11,2.3476430243810632e-11,1.7943893787524301e-10,0.0,0.0,1.4911006843146884e-10,2.1262400834134055e-15,2.4595665012904734e-11,6.76316494835392e-10,1.8601779671878605e-18,5.0567471311388706e-27,6.523183822422676e-18,6.716122871560816e-10,1.5981717777325763e-12,1.2441716691209602e-11,2.726856009896142e-24,8.960400460801406e-34,1.5529194812238224e-20,7.180653962854186e-20,8.530978303220506e-10,6.90063724884699e-23,1.9345565975881308e-18,1.0989730439397733e-23,2.207545405064692e-30,1.1342745119384344e-21,1.1385144305938345e-25,3.189415971806684e-26,1.3585375087997987e-21,3.9724686290690396e-29,2.243511456835111e-32,2.5741626670212147e-31,3.76,0.0,0.5015556527453296,0.9999999990993976,4.9138662246802226e-12,1.0042776961895512e-15,1.624711013043977e-10,2.2742007106051946e-09,2.8387490939718653e-15,9.429128050483022e-16,3.4533748373914925e-11,1.5153359827218074e-10
2.07067734208e-08,0.5617327950288242,1.4580801250837159e-09,1.714287148840428e-11,2.5304860487438216e-11,1.8727344791767724e-10,0.0,0.0,1.544632475725611e-10,2.276567369872316e-15,2.6376462853961742e-11,7.268525431704996e-10,2.0706715425372487e-18,5.980735727809798e-27,7.0122358929298e-18,6.887731773735763e-10,1.7139838883851268e-12,1.3342534436615055e-11,3.074717114246733e-24,1.1104150227074547e-33,1.7214046331542214e-20,7.901927528153442e-20,8.598274587558672e-10,7.847694567986237e-23,2.1496205577125647e-18,1.2638720987326915e-23,2.6306154221438598e-30,1.299425187444868e-21,1.3647418100619585e-25,3.686776328588619e-26,1.560019047275384e-21,4.7034977078207054e-29,2.7448537936270536e-32,3.1955324225732715e-31,3.76,0.0,0.5015556526551048,0.9999999990394739,5.311065432563437e-12,1.1206139282939776e-15,1.693322024428845e-10,2.352356676322391e-09,3.0592386180086735e-15,9.806035904945932e-16,3.546534395808466e-11,1.5674123626060745e-10
2.13947441344e-08,0.5617327950432718,1.5595587554903132e-09,1.849056355523763e-11,2.7193872175148365e-11,1.9524686987587308e-10,0.0,0.0,1.5983877724554872e-10,2.432206578566666e-15,2.820111930999291e-11,7.786994176213255e-10,2.29581126437492e-18,7.03385139458886e-27,7.526587657469878e-18,7.051235681978784e-10,1.8326604726725713e-12,1.4265538237681957e-11,3.4498156675685556e-24,1.3635567175376173e-33,1.89904039344946e-20,8.653445504037377e-20,8.660311123919144e-10,8.881234807296865e-23,2.378551886422765e-18,1.4447836421124484e-23,3.117030589374493e-30,1.48008314500437e-21,1.624134742762845e-25,4.2362185860116426e-26,1.781994371194524e-21,5.52894715931181e-29,3.3354595990923526e-32,3.934645727520929e-31,3.76,0.0,0.501555652564754,0.9999999989781644,5.7234357061029055e-12,1.2451883655564908e-15,1.7631950902699216e-10,2.4305126691155874e-09,3.2853425841267955e-15,1.0176375984338403e-15,3.6353692298705506e-11,1.619488742481062e-10
2.2082714848e-08,0.5617327950578512,1.6633105183148263e-09,1.9888037605266207e-11,2.914223022423426e-11,2.0336063074930548e-10,0.0,0.0,1.6523713114490668e-10,2.5931800236777532e-15,3.006754122501062e-11,8.317955407575833e-10,2.535954164396537e-18,8.228881744612133e-27,8.066848294044022e-18,7.206855875846291e-10,1.9540661389727637e-12,1.520966927921088e-11,3.85285234066438e-24,1.6602078327284452e-33,2.0856968888605532e-20,9.433688270638431e-20,8.717504466391125e-10,1.0005284330614973e-22,2.621528942597085e-18,1.642351300065806e-23,3.673788418159138e-30,1.6768416425661285e-21,1.9198336993938021e-25,4.840444067485649e-26,2.0255709353758805e-21,6.45559817808312e-29,4.02751558459094e-32,4.807897124192393e-31,3.76,0.0,0.5015556524742739,0.9999999989155315,6.150889726852501e-12,1.378197483936496e-15,1.8343585727407262e-10,2.508668689615651e-09,3.5167118047957063e-15,1.0540094239133098e-15,3.719987561217944e-11,1.6715651223467595e-10
2.2770685561599998e-08,0.5617327950725561,1.769213762310387e-09,2.1334853624464596e-11,3.114871741802725e-11,2.1161605271069607e-10,0.0,0.0,1.706587570962971e-10,2.759510475469714e-15,3.197369543964605e-11,8.860809727575496e-10,2.7914418873522115e-18,9.579322957230875e-27,8.633564216124417e-18,7.354828775193194e-10,2.0780693650242267e-12,1.6173899094968845e-11,4.28448504250639e-24,2.0053911646843165e-33,2.2812267706191654e-20,1.0241082307423423e-19,8.770237746395511e-10,1.1223876638419559e-22,2.878706924209334e-18,1.8571885581740143e-23,4.3083798866244435e-30,1.8902657568657098e-21,2.2551008920218947e-25,5.50211736382399e-26,2.2918512136877196e-21,7.490227345881139e-29,4.8344093940341344e-32,5.833140027578043e-31,3.76,0.0,0.5015556523836622,0.9999999988516356,6.593344787175471e-12,1.5198283814240505e-15,1.9068394174177336e-10,2.5868247384200983e-09,3.7530053637405235e-15,1.0897177861105768e-15,3.800507249211837e-11,1.723641502203154e-10
2.3458656275199997e-08,0.5617327950873803,1.877150605492938e-09,2.2830568557782736e-11,3.3212138300506426e-11,2.2001435926168013e-10,0.0,0.0,1.7610407791217535e-10,2.9312211350812516e-15,3.391761225078415e-11,9.414975333960972e-10,3.0626009673243094e-18,1.1099367103919889e-26,9.227218407521988e-18,7.495402170227235e-10,2.2045427231149913e-12,1.7157231317749322e-11,4.745330363441686e-24,2.40440029442913e-33,2.4854679043379832e-20,1.1074016242916785e-19,8.818863388398802e-10,1.2541053013824686e-22,3.1502188710585488e-18,2.0898782096909297e-23,5.028798078203813e-30,2.1208920398774472e-21,2.633314505821911e-25,6.223862875264675e-26,2.581930362114939e-21,8.63957965447473e-29,5.770804038658927e-32,7.029736910923039e-31,3.76,0.0,0.5015556522929162,0.999999998786536,7.050723444109433e-12,1.6702590581356166e-15,1.9806631977888293e-10,2.6649808160940924e-09,3.993891547235915e-15,1.124764913896628e-15,3.8770535909994566e-11,1.7757178820502355e-10
2.4146626988799996e-08,0.5617327951023177,1.9870070937246618e-09,2.437473874712541e-11,3.5331322346033144e-11,2.2855668106517964e-10,0.0,0.0,1.8157349227264654e-10,3.1083356101776203e-15,3.589738795044342e-11,9.97988894468167e-10,3.349743127942619e-18,1.2803884779959516e-26,9.848230454240377e-18,7.628831955503215e-10,2.333363045562121e-12,1.8158702963669778e-11,5.235965125729997e-24,2.862789098857426e-33,2.6982458604419185e-20,1.1930855389585084e-19,8.863705602262719e-10,1.3960863405626187e-22,3.4361766793561174e-18,2.340972108695402e-23,5.843544934773434e-30,2.3692284351333422e-21,3.0579628515948502e-25,7.008262107515231e-26,2.8968940383835385e-21,9.910343455536545e-29,6.852713437036057e-32,8.41860676003521e-31,3.76,0.0,0.5015556522020334,0.9999999987202892,7.522954036981393e-12,1.829658710129099e-15,2.0558541614659933e-10,2.743136923171473e-09,4.239048576991645e-15,1.1591560018168763e-15,3.949757416918291e-11,1.8277942618879902e-10
2.4834597702399995e-08,0.5617327951173625,2.098673310791392e-09,2.5966922003421835e-11,3.7505126495058716e-11,2.372440614673898e-10,0.0,0.0,1.870673756222507e-10,3.2908778914839502e-15,3.791118656861384e-11,1.055500646661739e-09,3.653165602154489e-18,1.4708403284088895e-26,1.0496957179620272e-17,7.755379311302267e-10,2.4644115385641364e-12,1.9177385313792466e-11,5.7569280091872115e-24,3.3863602747868715e-33,2.919376202059166e-20,1.2809954787869405e-19,8.905062670781371e-10,1.5487367496385598e-22,3.73667211955539e-18,2.6109911923239833e-23,6.761636122407241e-30,2.6357544217008306e-21,3.532638494076234e-25,7.857851649057562e-26,3.2378163759114587e-21,1.1309127433958134e-28,8.097578796476184e-32,1.0022269784424853e-30,3.76,0.0,0.5015556521110114,0.9999999986529504,8.009971086357844e-12,1.9981880330117457e-15,2.1324352775533693e-10,2.8212930601558436e-09,4.488165168552727e-15,1.1928987314540686e-15,4.01875344027275e-11,1.8798706417164075e-10
2.5522568415999993e-08,0.5617327951325086,2.212043446752831e-09,2.7606679355944362e-11,3.9732437137187936e-11,2.4607746172240913e-10,0.0,0.0,1.9258608107463078e-10,3.4788723302120845e-15,3.9957240931274455e-11,1.1139803444076348e-09,3.973151467702333e-18,1.6829080645603188e-26,1.1173693794771696e-17,7.875308281400389e-10,2.5975738516344358e-12,2.021238444932993e-11,6.308721224362802e-24,3.981153060102009e-33,3.1486665715940086e-20,1.3709670806140326e-19,8.943209049509841e-10,1.7124635910627419e-22,4.051777850083851e-18,2.9004257375921025e-23,7.792604031398445e-30,2.920921355223917e-21,4.061032404190775e-25,8.775121758376581e-26,3.60575810899305e-21,1.2842439659853884e-28,9.524345570674896e-32,1.1864889395006658e-30,3.76,0.0,0.5015556520198484,0.9999999985845724,8.511715590053809e-12,2.1759995319380513e-15,2.2104282846968843e-10,2.899449227521669e-09,4.740940938398299e-15,1.2260028512595713e-15,4.084178830197097e-11,1.931947021535474e-10
2.6210539129599992e-08,0.561732795147751,2.3270158304777993e-09,2.929357651732995e-11,4.2012171613718834e-11,2.5505776593251577e-10,0.0,0.0,1.9812994031824053e-10,3.672343616385153e-15,4.203385313166065e-11,1.1733775317535628e-09,4.309969994981633e-18,1.9182675844269554e-26,1.1878675482559859e-17,7.988883701706007e-10,2.732740108971727e-12,2.1262841490043542e-11,6.891812209861455e-24,4.6534303261159976e-33,3.3859185805072235e-20,1.4628371360136985e-19,8.978397294520357e-10,1.8876751524586977e-22,4.381548420846619e-18,3.2097358201797187e-23,8.946498953025892e-30,3.2251529773061895e-21,4.646928176929237e-25,9.762515492270862e-26,4.00176484538579e-21,1.4516668738897965e-28,1.115354073061596e-31,1.39723114765207e-30,3.76,0.0,0.501555651928542,0.9999999985152059,9.02813523010651e-12,2.363237835095243e-15,2.2898537394131795e-10,2.977605425715388e-09,4.9970866812123285e-15,1.2584798073929462e-15,4.146171986299078e-11,1.9840234013451778e-10
2.689850984319999e-08,0.561732795163084,2.443492931577254e-09,3.1027185098450906e-11,4.4343279303363745e-11,2.6418578571684075e-10,0.0,0.0,2.0369926451734256e-10,3.871316758057654e-15,4.413939450098226e-11,1.233643751958929e-09,4.663877004398362e-18,2.1786515603883168e-26,1.2612079340115109e-17,8.096369439249398e-10,2.869804908354522e-12,2.2327932579439903e-11,7.50663533424797e-24,5.409665203428489e-33,3.6309295092161945e-20,1.556444482667896e-19,9.01085983233552e-10,2.0747810844868012e-22,4.72602126142282e-18,3.5393519446948316e-23,1.0233888493516001e-29,3.548846066581085e-21,5.294196350539225e-25,1.0822428309764306e-25,4.426865481918723e-21,1.6338067050786378e-28,1.3007350090926085e-31,1.637210099819061e-30,3.76,0.0,0.5015556518370903,0.9999999984448998,9.5591845029739e-12,2.560040008214503e-15,2.370731064357904e-10,3.055761655156535e-09,5.256324535823852e-15,1.2903424194694107e-15,4.204871494567092e-11,2.0360997811455064e-10
2.758648055679999e-08,0.5617327951785032,2.561381336379517e-09,3.2807083603573024e-11,4.672474234764633e-11,2.734622646208457e-10,0.0,0.0,2.092943452034661e-10,4.075817061423733e-15,4.627230515466661e-11,1.2947325432360016e-09,5.0351152306990436e-18,2.4658458165383593e-26,1.3374026611642383e-17,8.198026905314565e-10,3.0086672924904937e-12,2.340686865524691e-11,8.153593586410702e-24,6.25652739074158e-33,3.883493825725493e-20,1.651630773357133e-19,9.040810585066686e-10,2.2741925428754875e-22,5.085217649750794e-18,3.889675818219218e-23,1.1665855300751413e-29,3.892371206975887e-21,6.006788857205096e-25,1.1957208090057124e-25,4.882070758352928e-21,1.8312736040609507e-28,1.5109695441719955e-31,1.9093576019042265e-30,3.76,0.0,0.5015556517454918,0.9999999983737005,1.0104824783811645e-11,2.7665358680154016e-15,2.4530785962452657e-10,3.1339179162388525e-09,5.518388055427387e-15,1.3216045967271859e-15,4.260415241845721e-11,2.0881761609364463e-10
