Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58)
2.0864378262820335e-15,0.844625453449518,0.0,2.1701758106643386e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695360846057,0.9999999867604601,0.0,0.0,7.589374483506053e-10,4.600425473752298e-10,1.212740394051388e-10,1.7762086147799405e-10,1.3239539960947735e-08,4.612132927143938e-20
2.795039366356332e-15,0.8446254534904385,0.0,2.907216660429402e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695358268534,0.9999999822640272,0.0,0.0,1.0166897942461528e-09,6.162834816103517e-10,1.624614535869463e-10,2.3794485888633753e-10,1.7735972869649728e-08,8.125861802492379e-20
4.2122424465049284e-15,0.8446254535722798,0.0,4.3812983500249686e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695353113487,0.9999999732711845,0.0,0.0,1.5321944857122884e-09,9.287654536349622e-10,2.448362878359536e-10,3.585927438771656e-10,2.6728815586805634e-08,1.821033692507142e-19
7.0466486068021225e-15,0.8446254537359619,0.0,7.329461689444155e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695342803393,0.9999999552855916,0.0,0.0,2.563203867343613e-09,1.5537298122542406e-09,4.095859798955764e-10,5.998880741814402e-10,4.4714408541756685e-08,5.061779358876345e-19
1.271546092739651e-14,0.8446254540633263,0.0,1.3225788209216468e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695322183206,0.9999999193147756,0.0,0.0,4.625222625403141e-09,2.8036601875566913e-09,7.390854582489574e-10,1.0824769763098802e-09,8.068522458474834e-08,1.6438057077958928e-18
2.4053085568585286e-14,0.8446254547180548,0.0,2.501844061248337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.560169528094283,0.999999847374623,0.0,0.0,8.749260120708872e-09,5.303527570639425e-09,1.3980847919048787e-09,2.047647746410449e-09,1.5262537717170443e-07,5.8770593926264834e-18
4.672833485096284e-14,0.8446254560275119,0.0,4.860374287401561e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695198462082,0.9999997035002356,0.0,0.0,1.6997335028067473e-08,1.0303288866228678e-08,2.71608496698553e-09,3.9779611505021476e-09,2.964997646038095e-07,2.2175559182155678e-17
9.207883341571795e-14,0.8446254586464261,0.0,9.577433721783052e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695033500588,0.9999994157751299,0.0,0.0,3.34934845097729e-08,2.0302917572434547e-08,5.352091348069505e-09,7.838475417067072e-09,5.842248702601452e-07,8.610089112200486e-17
1.3742933198047305e-13,0.8446254612653404,0.0,1.4294491799032928e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601694868539098,0.999999128081581,0.0,0.0,4.998963354746312e-08,3.0302687761559296e-08,7.988105770167403e-09,1.1698839632140982e-08,8.719184193366409e-07,1.9179771738628005e-16
2.2813032910998323e-13,0.8446254665031686,0.0,2.372860388290234e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601694538616134,0.9999985527891346,0.0,0.0,8.298193029080079e-08,5.030265256028011e-08,1.3260158735788105e-08,1.9419117937714906e-08,1.4472108655263236e-06,5.285088338586436e-16
3.188313262394934e-13,0.8446254717409966,0.0,3.316271054005825e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.560169420869319,0.9999979776228726,0.0,0.0,1.1597422525808457e-07,7.030318322355883e-08,1.8532243861627902e-08,2.7138796108271897e-08,2.0223771275519437e-06,1.0323129782280483e-15
4.095323233690036e-13,0.8446254769788241,0.0,4.25968117716436e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601693878770265,0.9999974025827681,0.0,0.0,1.4896651844931904e-07,9.030427970904971e-08,2.3804361145266235e-08,3.485787418857392e-08,2.5974172319896583e-06,1.7032145827793016e-15
