Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126)
9.999999999999999e-11,0.5297641361605349,0.0,3.185376684844875e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124674172744,1.0,0.0,0.0,2.966257144879263e-09,1.9072020356074097e-09,7.495412327034102e-10,3.095138765684429e-10
1.3210850671112738e-10,0.5297641361605349,0.0,4.208153571472979e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124664648535,1.0,0.0,0.0,3.918678015584763e-09,2.521201018819637e-09,9.902146433427415e-10,4.0726235342238366e-10
1.6592828626401645e-10,0.529764136261559,0.0,5.2854409442166425e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124654616718,1.0,0.0,0.0,4.921859637069314e-09,3.168766386226695e-09,1.2437187020716039e-09,5.093745487710144e-10
1.9974806581690553e-10,0.5297641363625833,0.0,6.362728316960306e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124644584902,1.0,0.0,0.0,5.925041256543577e-09,3.817188812281271e-09,1.4972264074312588e-09,6.10626036831046e-10
2.335678453697946e-10,0.5297641364636076,0.0,7.44001568970397e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124634553085,1.0,0.0,0.0,6.92822287400755e-09,4.4664610825798714e-09,1.7507377287216256e-09,7.110240627060516e-10
2.673876249226837e-10,0.529764136564632,0.0,8.517303062447632e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124624521269,1.0,0.0,0.0,7.93140448946123e-09,5.1165760394072005e-09,2.004252635483853e-09,8.105758145701784e-10
3.3502718402846185e-10,0.5297641367666804,0.0,1.0671877807934958e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124604457637,1.0,0.0,0.0,9.93776771433772e-09,6.41930565309378e-09,2.511293084743002e-09,1.007168976500938e-09
4.0266674313424e-10,0.5297641369687291,0.0,1.2826452553422285e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124584394005,1.0,0.0,0.0,1.1944130931173037e-08,7.725321546396697e-09,3.018347516451926e-09,1.200461868324413e-09
4.703063022400182e-10,0.5297641371707776,0.0,1.4981027298909612e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124564330373,1.0,0.0,0.0,1.3950494139967171e-08,9.034568554631323e-09,3.525415695863527e-09,1.3905098894723205e-09
5.379458613457963e-10,0.5297641373728262,0.0,1.7135602044396937e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124544266741,1.0,0.0,0.0,1.5956857340720124e-08,1.0346992440121496e-08,4.0324973921754826e-09,1.577367508423144e-09
